"Year","Month","DayofMonth","DayofWeek","Carrier","CRSDepTime","DepDel15","CRSArrTime","OriginState","DestState"
2013,7,13,6,"YV",1043,0,1452,"TX","DC"
2013,7,15,1,"WN",1905,1,55,"CO","MA"
2013,5,16,4,"FL",1925,0,2030,"CA","NV"
2013,8,6,2,"WN",820,1,1000,"IL","AZ"
2013,7,19,5,"OO",2015,0,2156,"UT","NM"
2013,6,4,2,"US",850,0,1313,"AZ","TX"
2013,5,14,2,"WN",730,0,850,"NV","NV"
2013,9,22,7,"VX",950,0,1220,"NY","NV"
2013,7,8,1,"9E",1353,0,1520,"NC","OH"
2013,10,22,2,"WN",1335,0,1700,"CA","CO"
2013,6,28,5,"AA",1640,0,1915,"IL","TX"
2013,5,21,2,"B6",2010,1,2304,"FL","NY"
2013,5,30,4,"DL",730,0,1142,"MN","FL"
2013,8,23,5,"YV",1441,1,1631,"FL","DC"
2013,5,14,2,"DL",1730,0,1909,"FL","GA"
2013,7,27,6,"WN",1720,0,2255,"NV","TN"
2013,7,1,1,"WN",1520,0,1630,"AZ","CA"
2013,9,26,4,"AA",1215,1,1525,"IL","NY"
2013,7,8,1,"B6",800,0,1625,"CA","MA"
2013,4,28,7,"WN",940,0,1105,"PA","CO"
2013,7,29,1,"DL",1735,0,2122,"MN","NY"
2013,4,28,7,"OO",1705,0,1750,"IL","WI"
2013,10,16,3,"MQ",1510,0,1735,"NY","IN"
2013,7,23,2,"UA",1651,0,1825,"NJ","IL"
2013,8,8,4,"OO",1341,0,1443,"TX","TX"
2013,4,2,2,"EV",600,0,804,"CT","MI"
2013,7,9,2,"UA",515,0,759,"IL","TX"
2013,7,6,6,"MQ",1550,0,1610,"OH","IL"
2013,10,8,2,"DL",2155,0,2339,"GA","PA"
2013,4,28,7,"UA",1404,1,1619,"DC","FL"
2013,4,4,4,"OO",1127,0,1219,"CA","CA"
2013,5,6,1,"US",1225,0,1342,"CA","AZ"
2013,8,2,5,"WN",1810,0,1845,"NM","NV"
2013,9,5,4,"WN",920,0,1055,"FL","CO"
2013,5,20,1,"MQ",600,1,810,"NY","GA"
2013,5,31,5,"UA",1545,0,1826,"DC","CA"
2013,4,10,3,"EV",600,0,804,"MO","TX"
2013,7,16,2,"EV",1545,0,1854,"TX","GA"
2013,6,14,5,"OO",1245,0,1820,"CA","TX"
2013,9,20,5,"OO",1610,1,1701,"CA","CA"
2013,9,30,1,"WN",1710,0,2020,"CO","TX"
2013,7,22,1,"WN",2020,0,2145,"CA","NV"
2013,10,9,3,"F9",1855,1,2337,"CO","GA"
2013,5,12,7,"DL",835,0,1019,"MD","MN"
2013,10,18,5,"EV",1930,0,2056,"NJ","WI"
2013,9,7,6,"UA",746,0,1121,"WA","CO"
2013,10,26,6,"US",2110,0,2208,"PA","NY"
2013,7,4,4,"AA",1420,1,1630,"IL","CA"
2013,9,24,2,"UA",959,0,1032,"PA","IL"
2013,6,13,4,"DL",1351,1,1649,"MI","FL"
2013,7,4,4,"OO",1510,0,1621,"NV","CA"
2013,6,19,3,"UA",1412,0,1705,"FL","NJ"
2013,6,3,1,"EV",1957,0,2104,"NY","DC"
2013,6,24,1,"WN",1340,1,1940,"CA","WI"
2013,6,17,1,"F9",1035,0,1358,"CA","CO"
2013,8,20,2,"YV",1605,0,1724,"NC","OH"
2013,8,22,4,"AS",2130,1,2328,"NV","OR"
2013,10,10,4,"YV",1201,1,1344,"GA","DC"
2013,10,13,7,"WN",820,0,945,"TN","IL"
2013,6,29,6,"UA",730,1,835,"TX","NV"
2013,8,18,7,"DL",945,0,1129,"VA","GA"
2013,6,7,5,"B6",2055,1,2227,"DC","MA"
2013,7,29,1,"AA",630,0,930,"MI","FL"
2013,9,5,4,"WN",1420,0,1525,"TX","LA"
2013,5,3,5,"WN",1320,0,1725,"AZ","TX"
2013,10,9,3,"WN",2050,1,2215,"CA","CA"
2013,7,12,5,"WN",1815,1,1940,"CA","CA"
2013,10,22,2,"MQ",925,0,1135,"GA","NY"
2013,10,2,3,"EV",619,0,819,"NJ","MN"
2013,5,17,5,"UA",1130,0,1320,"FL","TX"
2013,7,7,7,"DL",1930,0,2215,"NY","GA"
2013,6,4,2,"AA",1410,0,1655,"PA","TX"
2013,5,29,3,"AS",55,0,519,"AK","WA"
2013,5,30,4,"OO",1719,1,1738,"MI","IL"
2013,8,10,6,"DL",645,0,1414,"CA","GA"
2013,8,23,5,"AA",1300,0,1400,"OK","TX"
2013,10,8,2,"WN",650,0,820,"NV","CA"
2013,6,18,2,"US",750,0,902,"AZ","CA"
2013,9,29,7,"AA",1830,0,2020,"NE","TX"
2013,9,18,3,"US",640,0,844,"FL","NC"
2013,4,2,2,"OO",1723,0,1813,"WI","IL"
2013,4,29,1,"WN",920,1,1050,"NV","CA"
2013,8,7,3,"DL",1755,1,1940,"VA","GA"
2013,8,8,4,"WN",1710,0,1910,"KY","FL"
2013,7,6,6,"UA",1855,0,2259,"TX","DC"
2013,9,23,1,"WN",1530,1,1645,"NM","CO"
2013,10,21,1,"OO",815,0,1019,"TX","UT"
2013,5,4,6,"WN",630,0,740,"NY","MD"
2013,6,11,2,"WN",1645,1,1915,"MD","CA"
2013,8,22,4,"AA",625,1,1035,"TX","PA"
2013,8,31,6,"YV",1615,0,1710,"NC","NC"
2013,4,8,1,"WN",2000,1,2125,"CA","CA"
2013,7,24,3,"WN",630,0,810,"CA","OR"
2013,10,11,5,"DL",810,0,956,"FL","GA"
2013,5,19,7,"F9",1035,0,1344,"CO","WI"
2013,7,12,5,"AS",1855,0,2123,"WA","AK"
2013,4,17,3,"DL",1122,0,1305,"PA","GA"
2013,5,20,1,"EV",624,0,827,"NJ","NC"
2013,10,6,7,"B6",1730,0,1946,"FL","NY"
2013,4,7,7,"AA",1935,0,2120,"MA","IL"
2013,6,8,6,"AA",1935,0,2330,"IL","FL"
2013,4,20,6,"AA",1745,0,1850,"TX","CA"
2013,7,10,3,"WN",1725,1,1855,"TX","CO"
2013,7,1,1,"US",735,0,1000,"PA","CA"
2013,9,15,7,"US",855,0,1108,"DC","NV"
2013,5,10,5,"WN",600,1,715,"CA","CA"
2013,4,17,3,"OO",600,0,725,"AZ","CA"
2013,5,1,3,"EV",736,0,839,"NC","IL"
2013,9,18,3,"B6",1959,0,2117,"CA","CA"
2013,9,8,7,"OO",855,0,1010,"CA","CA"
2013,9,17,2,"9E",1925,0,2032,"OH","MI"
2013,5,26,7,"WN",1940,0,2210,"MD","FL"
2013,5,12,7,"AA",1255,1,1615,"TX","FL"
2013,4,25,4,"UA",949,0,1209,"TX","IL"
2013,5,26,7,"AA",1655,0,1750,"TX","NV"
2013,7,10,3,"US",1500,0,1612,"NY","MA"
2013,9,22,7,"DL",1900,0,2050,"FL","GA"
2013,9,25,3,"MQ",1225,0,1540,"CO","IL"
2013,5,11,6,"WN",1045,0,1325,"IL","DC"
2013,6,28,5,"WN",1545,0,1655,"TX","LA"
2013,4,6,6,"AS",950,0,1140,"CA","WA"
2013,5,6,1,"US",1605,0,1900,"PA","CA"
2013,7,17,3,"B6",650,0,931,"NY","FL"
2013,6,16,7,"DL",1705,0,1905,"NC","MI"
2013,8,29,4,"B6",1309,0,1534,"OR","CA"
2013,6,30,7,"EV",625,1,805,"GA","MN"
2013,9,15,7,"VX",1520,0,2345,"CA","NY"
2013,5,15,3,"B6",610,0,934,"MA","FL"
2013,4,30,2,"WN",1700,0,1815,"CA","CA"
2013,4,12,5,"UA",844,1,1003,"NJ","MA"
2013,7,12,5,"WN",1850,0,2045,"FL","CO"
2013,9,12,4,"AA",1800,0,1905,"FL","FL"
2013,6,8,6,"WN",710,0,755,"MO","CO"
2013,8,1,4,"UA",1315,0,1543,"IL","PA"
2013,7,12,5,"HA",1415,0,2220,"HI","CA"
2013,4,9,2,"WN",1250,0,1505,"FL","OH"
2013,8,12,1,"AA",1745,0,2130,"TX","NC"
2013,4,1,1,"AA",830,0,1400,"CA","TX"
2013,9,7,6,"B6",700,0,950,"MA","FL"
2013,6,28,5,"B6",1415,1,1700,"FL","NY"
2013,8,29,4,"OO",910,0,1024,"MN","NE"
2013,8,29,4,"UA",858,0,959,"TX","TX"
2013,7,10,3,"AA",720,0,1035,"FL","MA"
2013,7,5,5,"MQ",1935,0,2125,"OK","IL"
2013,9,8,7,"OO",1800,0,1918,"CA","NV"
2013,6,9,7,"FL",1445,1,1710,"FL","PA"
2013,10,6,7,"WN",1900,1,35,"NV","IL"
2013,6,28,5,"DL",1845,1,2122,"GA","NY"
2013,9,22,7,"WN",815,0,935,"IL","MO"
2013,8,21,3,"9E",1020,0,1129,"PA","MI"
2013,9,27,5,"9E",935,0,1153,"OH","FL"
2013,5,29,3,"US",1305,1,1450,"NC","NY"
2013,10,25,5,"WN",1055,0,1200,"NV","CA"
2013,8,25,7,"AA",2230,0,2320,"TX","CA"
2013,10,4,5,"DL",1245,0,1504,"GA","NY"
2013,4,20,6,"B6",1835,0,2152,"MA","FL"
2013,7,16,2,"MQ",1510,1,1625,"FL","TN"
2013,5,12,7,"F9",1327,1,1545,"NY","CO"
2013,10,17,4,"AA",1155,1,1455,"CO","TX"
2013,7,6,6,"EV",1133,0,1341,"MO","TX"
2013,7,15,1,"DL",1830,1,2027,"NC","MI"
2013,10,24,4,"WN",700,0,915,"LA","IL"
2013,4,1,1,"DL",645,0,907,"NY","LA"
2013,8,8,4,"US",1813,0,2046,"NC","WA"
2013,6,11,2,"UA",2229,0,424,"CA","IL"
2013,10,16,3,"DL",944,0,1205,"GA","CT"
2013,10,11,5,"OO",820,0,904,"UT","AZ"
2013,7,23,2,"FL",1730,1,2008,"MA","GA"
2013,8,20,2,"DL",1250,0,1817,"CA","MN"
2013,4,21,7,"WN",1450,0,1635,"CO","OR"
2013,10,5,6,"DL",1010,0,1334,"MN","GA"
2013,8,28,3,"FL",1010,0,1150,"MD","IN"
2013,4,20,6,"B6",2312,0,743,"CA","MA"
2013,10,11,5,"UA",1605,1,19,"CA","NY"
2013,8,12,1,"OO",1030,1,1315,"CA","UT"
2013,6,21,5,"AA",1840,1,2110,"IL","TX"
2013,9,21,6,"WN",1050,1,1235,"NC","FL"
2013,10,26,6,"DL",1215,0,1850,"NV","OH"
2013,7,11,4,"WN",1650,1,1810,"CA","CA"
2013,5,29,3,"AA",1825,1,2115,"PR","FL"
2013,7,3,3,"WN",1045,1,1210,"AZ","CA"
2013,6,14,5,"WN",1720,1,1835,"CA","CA"
2013,6,11,2,"WN",1500,0,1730,"AZ","UT"
2013,7,14,7,"WN",1110,0,1200,"TX","TX"
2013,6,17,1,"WN",1545,1,1705,"LA","TX"
2013,6,30,7,"OO",1012,0,1056,"IL","WI"
2013,9,12,4,"MQ",1150,0,1330,"IL","TN"
2013,9,20,5,"US",1145,0,1431,"FL","PA"
2013,9,23,1,"DL",1215,0,1939,"CA","GA"
2013,6,21,5,"DL",1350,1,1638,"GA","MA"
2013,7,26,5,"WN",845,0,1050,"IL","LA"
2013,6,8,6,"FL",1000,0,1211,"IN","FL"
2013,4,21,7,"US",1243,0,2025,"CA","DC"
2013,6,26,3,"AA",1310,1,1755,"TX","MA"
2013,10,17,4,"WN",830,0,955,"CO","NV"
2013,9,24,2,"B6",1824,0,1958,"NY","NY"
2013,8,24,6,"WN",1730,0,1850,"CA","AZ"
2013,9,1,7,"YV",1700,0,1841,"MA","IL"
2013,5,22,3,"WN",600,0,935,"CA","CO"
2013,9,30,1,"MQ",1829,0,1939,"NY","MD"
2013,7,31,3,"OO",2244,1,15,"CA","CA"
2013,7,1,1,"FL",1130,1,1400,"PA","FL"
2013,9,7,6,"F9",1438,0,1620,"LA","CO"
2013,8,1,4,"US",1035,0,1411,"AZ","HI"
2013,8,29,4,"AA",1030,0,1230,"FL","NC"
