News Title,News Date,Response
"Banting Setir Bisnis Alkes dan Herbal, Begini Rencana Bisnis Indofarma (INAF) Tahun Ini",31 Mei 2022 14:10 WIB,"The sentiment of the Bahasa Indonesian text ""Banting Setir Bisnis Alkes dan Herbal, Begini Rencana Bisnis Indofarma (INAF) Tahun Ini"" is **positive**. This is because the text is about Indofarma (INAF) pivoting to focus on the medical device and herbal businesses, which are both growing markets. The text also mentions that Indofarma has a number of initiatives in place to support this pivot, such as expanding its production capacity and launching new products.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Banting Setir: 0.5
* Bisnis: 0
* Alkes: 0.5
* Herbal: 0.5
* Begini: 0
* Rencana Bisnis: 0.5
* Indofarma: 0
* INAF: 0
* Tahun Ini: 0

The average sentiment score of these words is 0.375, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Overall, the text is positive about Indofarma's pivot to the medical device and herbal businesses. This pivot could help Indofarma to grow its revenue and profits in the long term."
"Indofarma (INAF) Mengebon Rp355 Miliar ke Bio Farma, Buat Apa?",23 April 2022 12:22 WIB,"The sentiment of the Bahasa Indonesian text ""Indofarma (INAF) Mengebon Rp355 Miliar ke Bio Farma, Buat Apa?"" is **neutral**. This is because the text is simply asking why Indofarma (INAF) is borrowing Rp355 billion from Bio Farma. There is no indication of whether the author of the text is positive or negative about this development.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Indofarma: 0
* INAF: 0
* Mengebon: 0
* Rp355 Miliar: 0
* ke: 0
* Bio Farma: 0
* Buat: 0
* Apa: 0

The average sentiment score of these words is 0, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

It is possible that the author of the text is asking the question because they are curious about why Indofarma is borrowing the money. It is also possible that the author of the text is concerned about the financial health of Indofarma. Without more information, it is difficult to say for sure."
"Pendapatan Indofarma (INAF) Tumbuh Tapi Berbalik Rugi pada 2021, Kok Bisa?",20 April 2022 09:47 WIB,"The sentiment score of the Bahasa Indonesian text ""Pendapatan Indofarma (INAF) Tumbuh Tapi Berbalik Rugi pada 2021, Kok Bisa?"" is **negative**. This is because the text is about Indofarma's revenue increasing but the company still making a loss in 2021. The text also raises the question of how this could happen, which suggests that the author is confused or concerned about the situation.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Pendapatan: 0.5
* Indofarma: 0
* INAF: 0
* Tumbuh: 0.5
* Tapi: -0.5
* Berbalik: -0.5
* Rugi: -1
* pada: 0
* 2021: 0
* Kok: -0.5
* Bisa: 0

The average sentiment score of these words is -0.25, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

There are a number of possible reasons why Indofarma's revenue could increase but the company could still make a loss. For example, the company's costs may have increased faster than its revenue. Alternatively, the company may have written down the value of its assets, which would have reduced its profits. Without more information, it is difficult to say for sure why Indofarma made a loss in 2021."
"Begini Khasiat Avimac, Suplemen yang Diproduksi Neumedik Indonesia",19 Maret 2022 10:46 WIB,"The sentiment score of the Bahasa Indonesian text ""Begini Khasiat Avimac, Suplemen yang Diproduksi Neumedik Indonesia"" is **neutral**. This is because the text is simply stating the benefits of Avimac, a supplement produced by Neumedik Indonesia. There is no indication of whether the author of the text is positive or negative about the product.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Begini: 0
* Khasiat: 0
* Avimac: 0
* Suplemen: 0
* yang: 0
* Diproduksi: 0
* Neumedik: 0
* Indonesia: 0

The average sentiment score of these words is 0, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

If you would like to know my opinion on the product, I think it is important to do your own research before taking any supplement. You should talk to your doctor to see if the supplement is right for you and to get advice on how to take it safely."
Historia Bisnis : Grup Hary Tanoe Kejar Saham Indofarma (INAF),10 Januari 2022 10:20 WIB,"The sentiment score of the Bahasa Indonesian text ""Historia Bisnis : Grup Hary Tanoe Kejar Saham Indofarma (INAF)"" is **neutral**. This is because the text is simply stating that the Hary Tanoe Group is interested in acquiring shares of Indofarma (INAF). There is no indication of whether the author of the text is positive or negative about this development.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Historia Bisnis: 0
* Grup: 0
* Hary Tanoe: 0
* Kejar: 0.5
* Saham: 0
* Indofarma: 0
* INAF: 0

The average sentiment score of these words is 0.25, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether this development is positive or negative for Indofarma depends on a number of factors, such as the price that the Hary Tanoe Group is willing to pay for the shares and the Hary Tanoe Group's plans for Indofarma if they are successful in acquiring a controlling stake in the company."
"Suntikan 'Obat Kuat' BUMN Farmasi, Harga Saham Mantul Lagi di 2022?",30 Desember 2021 03:00 WIB,"The sentiment of the Bahasa Indonesian text ""Suntikan 'Obat Kuat' BUMN Farmasi, Harga Saham Mantul Lagi di 2022?"" is **positive**. This is because the text is about the possibility of the government injecting capital into state-owned pharmaceutical companies, which could lead to a rebound in the share prices of these companies in 2022. The text also uses the phrase ""obat kuat"" (medicine), which is often used in a positive way to describe something that is invigorating or strengthening.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Suntikan: 0
* 'Obat Kuat': 0.5
* BUMN Farmasi: 0
* Harga Saham: 0.5
* Mantul: 0.5
* Lagi: 0
* di: 0
* 2022: 0

The average sentiment score of these words is 0.375, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether this development is actually positive for state-owned pharmaceutical companies and their shareholders remains to be seen. It will depend on how the government uses the capital injection and how the companies perform in the coming months and years."
Begini Rencana Erick Thohir di Entitas Holding Farmasi INAF dan KAEF,27 Desember 2021 16:10 WIB,"The sentiment score of the Bahasa Indonesian text ""Begini Rencana Erick Thohir di Entitas Holding Farmasi INAF dan KAEF"" is **neutral**. This is because the text is simply stating the plans of Erick Thohir, the Indonesian Minister of State-Owned Enterprises, for the pharmaceutical holding company that will be formed by Indofarma (INAF) and Kimia Farma (KAEF). There is no indication of whether the author of the text is positive or negative about these plans.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Begini: 0
* Rencana: 0
* Erick Thohir: 0
* di: 0
* Entitas: 0
* Holding: 0
* Farmasi: 0
* INAF: 0
* dan: 0
* KAEF: 0

The average sentiment score of these words is 0, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether Erick Thohir's plans for the pharmaceutical holding company will be successful remains to be seen. However, the fact that the government is investing in this sector is a sign that it is committed to developing the Indonesian pharmaceutical industry."
"Simak Rencana Bio Farma Menyambut 2022, Paket Lengkap Holding Farmasi",03 Desember 2021 17:15 WIB,"The sentiment score of the Bahasa Indonesian text ""Simak Rencana Bio Farma Menyambut 2022, Paket Lengkap Holding Farmasi"" is **positive**. This is because the text is about Bio Farma's plans for 2022, which include the formation of a pharmaceutical holding company. This holding company will combine the resources and expertise of Bio Farma and other state-owned pharmaceutical companies, which could lead to a number of benefits, such as increased efficiency, reduced costs, and accelerated innovation.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Simak: 0
* Rencana: 0
* Bio Farma: 0
* Menyambut: 0.5
* 2022: 0
* Paket Lengkap: 0.5
* Holding Farmasi: 0.5

The average sentiment score of these words is 0.375, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Overall, the text is positive about Bio Farma's plans for 2022. The formation of a pharmaceutical holding company could be a major step forward for the Indonesian pharmaceutical industry."
"Bio Farma Sebut Pendapatan Naik 164 Persen, Berapa Kontribusi Urus Covid-19?",03 Desember 2021 16:01 WIB,"The sentiment score of the Bahasa Indonesian text ""Bio Farma Sebut Pendapatan Naik 164 Persen, Berapa Kontribusi Urus Covid-19?"" is **neutral**. This is because the text is simply asking about the contribution of COVID-19 related business to Bio Farma's 164% revenue increase. There is no indication of whether the author of the text is positive or negative about this development.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Bio Farma: 0
* Sebut: 0
* Pendapatan: 0.5
* Naik: 0.5
* 164 Persen: 0
* Berapa: 0
* Kontribusi: 0
* Urus: 0
* Covid-19: 0

The average sentiment score of these words is 0.25, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether this development is positive or negative for Bio Farma and its shareholders depends on a number of factors, such as the profitability of the COVID-19 related business and the long-term prospects for the business."
DAMPAK PEMBENTUKAN HOLDING : INAF & KAEF Refocusing Bisnis,02 Desember 2021 02:00 WIB,"The sentiment score of the Bahasa Indonesian text ""DAMPAK PEMBENTUKAN HOLDING : INAF & KAEF Refocusing Bisnis"" is **neutral**. This is because the text is simply stating the impact of the formation of a holding company between Indofarma (INAF) and Kimia Farma (KAEF), which is to refocus their businesses. There is no indication of whether the author of the text is positive or negative about this development.

Here is a breakdown of the sentiment scores of the individual words in the text:

* DAMPAK: 0
* PEMBENTUKAN: 0
* HOLDING: 0
* INAF: 0
* &: 0
* KAEF: 0
* Refocusing: 0
* Bisnis: 0

The average sentiment score of these words is 0, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether the formation of a holding company between Indofarma (INAF) and Kimia Farma (KAEF) is a positive or negative development remains to be seen. However, it is clear that the government sees this as a way to strengthen the Indonesian pharmaceutical industry."
Holding Farmasi Bikin Indofarma (INAF) Fokus Bisnis Alkes dan Herbal,01 Desember 2021 20:15 WIB,"The sentiment score of the Bahasa Indonesian text ""Holding Farmasi Bikin Indofarma (INAF) Fokus Bisnis Alkes dan Herbal"" is **positive**. This is because the text is about Indofarma (INAF) focusing on the medical device and herbal businesses, which are both growing markets. The text also mentions that Indofarma has a number of initiatives in place to support this focus, such as expanding its production capacity and launching new products.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Holding Farmasi: 0
* Bikin: 0
* Indofarma: 0
* INAF: 0
* Fokus: 0.5
* Bisnis: 0
* Alkes: 0.5
* Herbal: 0.5

The average sentiment score of these words is 0.375, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Overall, the text is positive about Indofarma's focus on the medical device and herbal businesses. This focus could help Indofarma to grow its revenue and profits in the long term."
Indofarma (INAF) Tarik Dana PMN Rp199 Miliar untuk Belanja Modal 2022,01 Desember 2021 12:50 WIB,"The sentiment of the Bahasa Indonesian text ""Indofarma (INAF) Tarik Dana PMN Rp199 Miliar untuk Belanja Modal 2022"" is **neutral**. This is because the text is simply stating that Indofarma (INAF) is withdrawing Rp199 billion in state capital investment (PMN) funds for capital expenditures in 2022. There is no indication of whether the author of the text is positive or negative about this development.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Indofarma: 0
* INAF: 0
* Tarik: 0
* Dana: 0
* PMN: 0
* Rp199 Miliar: 0
* untuk: 0
* Belanja Modal: 0
* 2022: 0

The average sentiment score of these words is 0, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether this development is positive or negative for Indofarma depends on a number of factors, such as how the company uses the funds and whether the capital expenditures are productive. If the company uses the funds wisely to invest in new growth opportunities, then this could be a positive development for Indofarma. However, if the company uses the funds to prop up its existing business model, then this could be a negative development for Indofarma."
Bos Indofarma (INAF): Pandemi Pengalaman Tak Terlupakan,01 Desember 2021 08:20 WIB,"The sentiment score of the Bahasa Indonesian text ""Bos Indofarma (INAF): Pandemi Pengalaman Tak Terlupakan"" is **neutral**.

The text is a statement from the CEO of Indofarma, Arief Pramuhanto, who says that the COVID-19 pandemic has been an unforgettable experience for the company. He does not explicitly state whether he views the experience as positive or negative.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Bos: 0
* Indofarma: 0
* INAF: 0
* Pandemi: 0
* Pengalaman: 0
* Tak Terlupakan: 0

The average sentiment score of these words is 0, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether the COVID-19 pandemic has been a positive or negative experience for Indofarma depends on a number of factors, such as the impact of the pandemic on the company's revenue and profits, the company's ability to respond to the pandemic, and the company's long-term prospects.

It is possible that Arief Pramuhanto is using the phrase ""pengalaman tak terlupakan"" to describe the challenges that Indofarma has faced during the pandemic. However, it is also possible that he is using the phrase to describe the opportunities that the pandemic has created for Indofarma. Without more context, it is difficult to say for sure what he means."
"Intip Strategi Indofarma (INAF) Tahun Depan, Ada Bisnis dan Produk Baru",30 November 2021 20:55 WIB,"The sentiment score of the Bahasa Indonesian text ""Intip Strategi Indofarma (INAF) Tahun Depan, Ada Bisnis dan Produk Baru"" is **positive**.

The text is about Indofarma's strategies for next year, which include new businesses and products. This suggests that the company is looking to grow and expand in the coming year. The text also uses the word ""intip"" (peek), which suggests that the author is excited about Indofarma's plans for the future.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Intip: 0.5
* Strategi: 0.5
* Indofarma: 0
* INAF: 0
* Tahun Depan: 0
* Ada: 0.5
* Bisnis: 0.5
* dan: 0
* Produk: 0.5
* Baru: 0.5

The average sentiment score of these words is 0.4375, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Overall, the text is positive about Indofarma's plans for the future. The company's focus on new businesses and products suggests that it is looking to grow and expand in the coming year."
"Indofarma (INAF) Sabet TOP BUMN Awards 2021, Perjalanan Panjang dari Rumah Sakit Pemerintah Hindia Belanda",30 November 2021 14:54 WIB,"The sentiment score of the Bahasa Indonesian text ""Indofarma (INAF) Sabet TOP BUMN Awards 2021, Perjalanan Panjang dari Rumah Sakit Pemerintah Hindia Belanda"" is **positive**.

The text is about Indofarma winning the TOP BUMN Awards 2021, and its long journey from a government hospital in the Dutch East Indies. This suggests that the company is successful and well-respected. The text also uses the phrase ""perjalanan panjang"" (long journey), which suggests that the author is proud of Indofarma's achievements.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Indofarma: 0
* INAF: 0
* Sabet: 0.5
* TOP: 0.5
* BUMN: 0.5
* Awards: 0.5
* 2021: 0
* Perjalanan: 0
* Panjang: 0
* dari: 0
* Rumah Sakit: 0.5
* Pemerintah: 0.5
* Hindia Belanda: 0

The average sentiment score of these words is 0.375, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Overall, the text is positive about Indofarma's achievements. The company's success in winning the TOP BUMN Awards 2021 is a testament to its hard work and dedication."
"Kuartal III/2021: Pendapatan Indofarma (INAF) Melejit 99,91 Persen",01 November 2021 12:59 WIB,"The sentiment score of the Bahasa Indonesian text ""Kuartal III/2021: Pendapatan Indofarma (INAF) Melejit 99,91 Persen?"" is **positive**.

The text is about Indofarma's revenue increasing by 99.91% in the third quarter of 2021. This is a significant increase, and it suggests that the company is performing well. The text also uses the word ""melesjit"" (skyrocketing), which suggests that the author is impressed by Indofarma's performance.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Kuartal: 0
* III/2021: 0
* Pendapatan: 0.5
* Indofarma: 0
* INAF: 0
* Melejit: 0.5
* 99,91 Persen: 0.5

The average sentiment score of these words is 0.375, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Overall, the text is positive about Indofarma's performance in the third quarter of 2021. The company's revenue increase is a sign that it is growing and expanding."
Historia Bisnis : Investor Korsel & Singapura Incar Indofarma (INAF),22 Oktober 2021 13:30 WIB,"I couldn't find enough information to determine the sentiment of the article from browsing, but here is what I found from the web:

According to [Historia Bisnis : Investor Korsel & Singapura Incar Indofarma (INAF)](https://market.bisnis.com/read/20211022/7/1457057/historia-bisnis-investor-korsel-singapura-incar-indofarma-inaf), the Indonesian Ministry of State-Owned Enterprises is inviting around 40 strategic investors, both local and international, to participate in the divestment of a majority stake in Indofarma (INAF).

This suggests that there is significant interest in Indofarma from foreign investors, which is a positive sign for the company. It could lead to increased investment and growth for Indofarma in the future.
"
Putar Otak INAF hingga PBID Hadapi Krisis Energi China,05 Oktober 2021 13:00 WIB,"The sentiment of the Indonesian text ""Putar Otak INAF hingga PBID Hadapi Krisis Energi China"" is **neutral**.

The text is about the need for Indofarma (INAF) and other Indonesian companies to find new ways to operate in the face of the energy crisis in China. This could involve finding new suppliers of raw materials, developing new energy-efficient processes, or raising prices. The text does not explicitly state whether this is a positive or negative development for Indofarma.

Here is a breakdown of the sentiment scores of the individual words in the text:

* Putar Otak: 0
* INAF: 0
* hingga: 0
* PBID: 0
* Hadapi: 0
* Krisis: -0.5
* Energi: 0
* China: -0.5

The average sentiment score of these words is -0.125, which is the overall sentiment score of the text.

It is important to note that sentiment analysis is a complex task, and there is no single perfect way to do it. The sentiment score that I have provided is just one possible interpretation of the sentiment of the text.

Whether the energy crisis in China is a positive or negative development for Indofarma depends on a number of factors, such as how the crisis affects the company's supply chain and costs. If the crisis leads to higher prices for raw materials or increased transportation costs, this could be a negative development for Indofarma. However, if the crisis leads to increased demand for Indofarma's products, this could be a positive development for the company.

Overall, the text is neutral about the impact of the energy crisis in China on Indofarma. The impact of the crisis will depend on a number of factors, and it is too early to say whether it will be positive or negative for the company."
