order_date,cust_id,city,state,prodname,categoryname,price,quantity,total
2020-01-16,1773,Syracuse,New York,BYOD-200,Drone Kits,58.95,2,117.9
2020-01-16,96,Chattanooga,Tennessee,BYOD-350,Drone Kits,89.95,5,449.75
2020-01-17,1264,Albuquerque,New Mexico,Building Your Own Drone,eBooks,24.99,4,99.96
2020-01-17,606,Charleston,West Virginia,BYOR-3000,Robot Kits,214,3,642
2020-01-17,1285,Birmingham,Alabama,SCARA Robots,eBooks,19.5,6,117
2020-01-18,897,Fresno,California,BYOD-550,Drone Kits,179,3,537
2020-01-18,522,Newark,Delaware,QuadroCopter Blueprint,Blueprints,10.99,2,21.98
2020-01-18,653,Spokane,Washington,Understanding Artificial Intelligence,eBooks,19.5,3,58.5
2020-01-18,1845,Birmingham,Alabama,Drone Video Techniques,Training Videos,37.99,2,75.98
2020-01-18,1052,Irvine,California,Cartesian Robots,eBooks,12.99,6,77.94
2020-01-19,1751,San Antonio,Texas,BYOD-350,Drone Kits,89.95,3,269.85
2020-01-19,772,Long Beach,California,BYOR-1500,Robot Kits,189,5,945
2020-01-19,1626,Roanoke,Virginia,BYOD-400S,Drone Kits,129.95,5,649.75
2020-01-20,99,Rochester,New York,Single Rotor Drones,eBooks,14.99,1,14.99
2020-01-20,209,New Orleans,Louisiana,Understanding Artificial Intelligence,eBooks,19.5,3,58.5
2020-01-20,459,San Luis Obispo,California,Helicopter Drones,eBooks,20.95,4,83.8
2020-01-21,430,Odessa,Texas,Cartesian Robots,eBooks,12.99,2,25.98
2020-01-21,1614,Salt Lake City,Utah,Building Your First Robot,eBooks,24.95,2,49.9
2020-01-21,681,Los Angeles,California,BYOR-1000,Robot Kits,189,4,756
2020-01-21,1634,Saint Paul,Minnesota,RXW-9807 Robot,Robots,599,4,2396
2020-01-21,1792,Evansville,Indiana,SCARA Robots,eBooks,19.5,2,39
2020-01-21,865,Sacramento,California,RXW-9807 Robot,Robots,599,5,2995
2020-01-21,932,Boston,Massachusetts,MICR-564K Drone,Drones,499,4,1996
2020-01-21,719,Riverside,California,DA-SA702 Drone,Drones,399,3,1197
2020-01-21,1830,San Francisco,California,DTD-7000 Drone,Drones,450,5,2250
2020-01-21,1524,Evansville,Indiana,Single Rotor Drones,eBooks,14.99,3,44.97
2020-01-21,847,Miami,Florida,RLK-9920 Robot,Robots,699,6,4194
2020-01-21,1002,Washington,District of Columbia,BYOR-3535,Robot Kits,225,2,450
2020-01-22,1326,Lehigh Acres,Florida,DX-145 Drone,Drones,250,3,750
2020-01-22,1833,Bronx,New York,BYOD-200,Drone Kits,58.95,5,294.75
2020-01-22,1302,Fort Lauderdale,Florida,DC-304 Drone,Drones,395,1,395
2020-01-22,1103,Idaho Falls,Idaho,Understanding Artificial Intelligence,eBooks,19.5,3,58.5
2020-01-22,1830,San Francisco,California,DTI-84 Drone,Drones,455,4,1820
2020-01-23,2035,Saint Petersburg,Florida,Virtual Reality Basics,Training Videos,29.99,5,149.95
2020-01-23,260,Birmingham,Alabama,Cloud Computing,Training Videos,29.99,2,59.98
2020-01-23,1824,Jersey City,New Jersey,Multi Rotor Drones,eBooks,24.95,3,74.85
2020-01-23,1737,Cincinnati,Ohio,RCB-889 Robot,Robots,549,5,2745
2020-01-23,160,Syracuse,New York,DTI-84 Drone,Drones,455,5,2275
2020-01-23,551,Littleton,Colorado,Cartesian Robots,eBooks,12.99,4,51.96
2020-01-23,1589,Chicago,Illinois,All Eyes Drone Blueprint,Blueprints,9.99,4,39.96
2020-01-23,275,Newark,New Jersey,BYOD-400,Drone Kits,119,4,476
2020-01-23,1523,Wichita,Kansas,Understanding Drone Regulations,Training Videos,27.5,4,110
2020-01-24,20,Cedar Rapids,Iowa,Robotic Essentials,Training Videos,34.99,3,104.97
2020-01-24,908,San Diego,California,DTI-84 Drone,Drones,455,2,910
2020-01-24,2031,Carson City,Nevada,DA-SA702 Drone,Drones,399,3,1197
2020-01-24,1436,Anchorage,Alaska,QuadroCopter Blueprint,Blueprints,10.99,3,32.97
2020-01-24,1599,San Jose,California,Cartesian Robots,eBooks,12.99,4,51.96
2020-01-24,303,Durham,North Carolina,BYOR-4005,Robot Kits,245,5,1225
2020-01-24,5,Midland,Texas,Drone Video Techniques,Training Videos,37.99,1,37.99
2020-01-25,1078,Topeka,Kansas,DX-145 Drone,Drones,250,5,1250
2020-01-25,1646,New Orleans,Louisiana,Ladybug Robot Blueprint,Blueprints,12,5,60
2020-01-25,831,Montgomery,Alabama,Mapping with Drones,Training Videos,49,3,147
2020-01-25,1111,Bakersfield,California,Drone Video Techniques,Training Videos,37.99,4,151.96
2020-01-26,1886,Muncie,Indiana,BYOD-500,Drone Kits,167,4,668
2020-01-26,2013,Saint Louis,Missouri,DTI-84 Drone,Drones,455,5,2275
2020-01-26,1848,Fresno,California,Drone Building Essentials,eBooks,13.99,3,41.97
2020-01-27,1533,Sacramento,California,GPS Drones,eBooks,19.99,1,19.99
2020-01-27,1591,Santa Barbara,California,RQTE-554 Robot,Robots,684,3,2052
2020-01-27,345,Anchorage,Alaska,Building Your Own Drone,eBooks,24.99,5,124.94999999999999
2020-01-27,256,Hartford,Connecticut,Bsquare Robot Blueprint,Blueprints,8.99,1,8.99
2020-01-27,1031,Norfolk,Virginia,GPS Drones,eBooks,19.99,5,99.94999999999999
2020-01-27,216,Newark,New Jersey,Photograph Drones,eBooks,14.99,4,59.96
2020-01-27,1839,Boynton Beach,Florida,Understanding Arduino,eBooks,17.5,5,87.5
2020-01-28,1802,Philadelphia,Pennsylvania,Industrial 3D Printing,Training Videos,49,3,147
2020-01-28,1306,Hartford,Connecticut,Building Your First Robot,eBooks,24.95,4,99.8
2020-01-28,1942,Boston,Massachusetts,GPS Drones,eBooks,19.99,3,59.97
2020-01-29,1842,San Angelo,Texas,Creature Robot Arms Blueprint,Blueprints,12,4,48
2020-01-29,1344,Young America,Minnesota,Cartesian Robots,eBooks,12.99,4,51.96
2020-01-29,1161,Zephyrhills,Florida,AI for Educators,Training Videos,49.95,5,249.75
2020-01-30,1227,Madison,Wisconsin,Polar Robots,eBooks,23.99,4,95.96
2020-01-30,1157,San Antonio,Texas,RCB-889 Robot,Robots,549,5,2745
2020-01-30,1572,Knoxville,Tennessee,BYOD-400,Drone Kits,119,4,476
2020-01-30,1696,Brooklyn,New York,Ladybug Robot Blueprint,Blueprints,12,3,36
2020-01-30,1741,Oxnard,California,RCB-889 Robot,Robots,549,3,1647
2020-01-31,451,Oakland,California,Cloud Computing,Training Videos,29.99,3,89.97
2020-01-31,961,Scottsdale,Arizona,BYOD-500,Drone Kits,167,4,668
2020-01-31,568,Madison,Wisconsin,DTD-7000 Drone,Drones,450,2,900
2020-01-31,2031,Carson City,Nevada,Aerial Security,Training Videos,36.99,3,110.97
2020-01-31,1136,Toledo,Ohio,Building Your First Robot,eBooks,24.95,4,99.8
2020-01-31,1983,Cumming,Georgia,BYOR-1000,Robot Kits,189,2,378
2020-02-01,1119,Springfield,Illinois,AI for Educators,Training Videos,49.95,1,49.95
2020-02-01,685,Fairbanks,Alaska,Robotic Essentials,Training Videos,34.99,5,174.95000000000002
2020-02-01,1505,Reno,Nevada,BYOD-550,Drone Kits,179,3,537
2020-02-01,535,New York City,New York,Understanding Arduino,eBooks,17.5,4,70
2020-02-02,1648,Charleston,South Carolina,Hexacopter Drone Blueprint,Blueprints,8.99,5,44.95
2020-02-02,645,El Paso,Texas,Hexacopter Drone Blueprint,Blueprints,8.99,5,44.95
2020-02-02,1036,Birmingham,Alabama,Sleepy Eye Blueprint,Blueprints,11.99,4,47.96
2020-02-02,1628,Columbus,Ohio,Panda Robot Blueprint,Blueprints,7.99,2,15.98
2020-02-02,1996,Tacoma,Washington,Helicopter Drones,eBooks,20.95,5,104.75
2020-02-02,1585,Houston,Texas,RCB-889 Robot,Robots,549,2,1098
2020-02-03,868,Salt Lake City,Utah,Polar Robots,eBooks,23.99,3,71.97
2020-02-03,1991,Colorado Springs,Colorado,Articulated Robots,eBooks,23.99,3,71.97
2020-02-03,604,San Antonio,Texas,BYOD-200,Drone Kits,58.95,2,117.9
2020-02-03,1070,Orlando,Florida,RXW-9807 Robot,Robots,599,5,2995
2020-02-04,1825,Bloomington,Illinois,RCB-889 Robot,Robots,549,4,2196
2020-02-04,481,Minneapolis,Minnesota,BYOR-1500,Robot Kits,189,6,1134
2020-02-04,2021,Hot Springs National Park,Arkansas,Fixed Wing Drones,eBooks,15.5,5,77.5
2020-02-04,500,Kansas City,Kansas,QuadroCopter Blueprint,Blueprints,10.99,3,32.97
2020-02-04,1320,Akron,Ohio,Understanding Raspberry PI,Training Videos,28.99,3,86.97
2020-02-05,707,Riverside,California,Multi Rotor Drones,eBooks,24.95,3,74.85
2020-02-05,1296,Cincinnati,Ohio,BYOD-300,Drone Kits,89,2,178
2020-02-05,496,Anchorage,Alaska,BYOR-3000,Robot Kits,214,5,1070
2020-02-05,1547,Austin,Texas,BYOD-200,Drone Kits,58.95,3,176.85000000000002
2020-02-05,1508,Peoria,Illinois,Virtual Reality Basics,Training Videos,29.99,2,59.98
2020-02-06,1267,Miami,Florida,BYOD-500,Drone Kits,167,3,501
2020-02-06,204,Minneapolis,Minnesota,Delivery Drones,eBooks,14.99,3,44.97
2020-02-06,1018,Fort Wayne,Indiana,Cat Robot Blueprint,Blueprints,4.99,4,19.96
2020-02-06,770,Detroit,Michigan,BYOD-550,Drone Kits,179,3,537
2020-02-06,1081,Huntington Beach,California,Sleepy Eye Blueprint,Blueprints,11.99,3,35.97
2020-02-07,661,Fargo,North Dakota,Building Your Own Drone,eBooks,24.99,4,99.96
2020-02-07,302,Madison,Wisconsin,Cartesian Robots,eBooks,12.99,4,51.96
2020-02-07,1589,Chicago,Illinois,Bsquare Robot Blueprint,Blueprints,8.99,4,35.96
2020-02-07,1084,Montgomery,Alabama,Delivery Drones,eBooks,14.99,2,29.98
2020-02-07,840,Atlanta,Georgia,Building Your Own Drone,eBooks,24.99,1,24.99
2020-02-07,510,Reston,Virginia,MICR-564K Drone,Drones,499,5,2495
2020-02-08,454,Las Vegas,Nevada,Understanding Drone Regulations,Training Videos,27.5,5,137.5
2020-02-08,1068,Boston,Massachusetts,Delivery Drones,eBooks,14.99,6,89.94
2020-02-08,1634,Saint Paul,Minnesota,BYOD-400S,Drone Kits,129.95,4,519.8
2020-02-08,1023,Denver,Colorado,Understanding Drone Regulations,Training Videos,27.5,2,55
2020-02-08,958,Miami,Florida,DTE-QFN20 Drone,Drones,250,3,750
2020-02-08,202,Fort Worth,Texas,RWW-75 Robot,Robots,883,4,3532
2020-02-09,1634,Saint Paul,Minnesota,Photograph Drones,eBooks,14.99,3,44.97
2020-02-09,1761,Pasadena,California,Creature Robot Arms Blueprint,Blueprints,12,3,36
2020-02-09,934,Glendale,California,RLK-9920 Robot,Robots,699,4,2796
2020-02-09,1033,Tulsa,Oklahoma,Creature Robot Arms Blueprint,Blueprints,12,3,36
2020-02-09,1905,Abilene,Texas,GPS Drones,eBooks,19.99,2,39.98
2020-02-09,922,Columbia,Missouri,BYOD-200,Drone Kits,58.95,6,353.70000000000005
2020-02-09,456,Atlanta,Georgia,BYOR-1000,Robot Kits,189,3,567
2020-02-10,1614,Salt Lake City,Utah,BYOD-400S,Drone Kits,129.95,1,129.95
2020-02-10,312,Phoenix,Arizona,AI for Educators,Training Videos,49.95,2,99.9
2020-02-10,203,Las Vegas,Nevada,Photograph Drones,eBooks,14.99,3,44.97
2020-02-10,1289,Portland,Oregon,BYOR-1000,Robot Kits,189,3,567
2020-02-11,1894,Tucson,Arizona,BYOD-400S,Drone Kits,129.95,5,649.75
2020-02-11,1951,Corona,California,RTF Drones,eBooks,16.99,4,67.96
2020-02-11,1290,Columbus,Ohio,DC-304 Drone,Drones,395,3,1185
2020-02-11,802,Bismarck,North Dakota,Multi Rotor Drones,eBooks,24.95,3,74.85
2020-02-11,1399,Detroit,Michigan,RQTE-554 Robot,Robots,684,2,1368
2020-02-12,1119,Springfield,Illinois,DA-SA702 Drone,Drones,399,4,1596
2020-02-12,2059,Kansas City,Kansas,Bsquare Robot Blueprint,Blueprints,8.99,6,53.94
2020-02-12,1584,Hartford,Connecticut,Polar Robots,eBooks,23.99,5,119.94999999999999
2020-02-12,680,Washington,District of Columbia,DTI-84 Drone,Drones,455,1,455
2020-02-12,156,Washington,District of Columbia,Robotic Essentials,Training Videos,34.99,5,174.95000000000002
2020-02-12,1549,Galveston,Texas,RLK-9920 Robot,Robots,699,6,4194
2020-02-12,1797,Denver,Colorado,Understanding 3D Printing,Training Videos,42.99,5,214.95000000000002
2020-02-12,906,Flint,Michigan,BYOD-220,Drone Kits,69,4,276
2020-02-13,1233,Des Moines,Iowa,DX-145 Drone,Drones,250,2,500
2020-02-13,1043,Omaha,Nebraska,RLK-9920 Robot,Robots,699,5,3495
2020-02-13,1161,Zephyrhills,Florida,Open Source Code,Training Videos,32.95,5,164.75
2020-02-13,1002,Washington,District of Columbia,Spherical Robots,eBooks,16.75,5,83.75
2020-02-13,848,Aurora,Illinois,BYOR-3000,Robot Kits,214,4,856
2020-02-14,1905,Abilene,Texas,Drone Video Techniques,Training Videos,37.99,4,151.96
2020-02-14,240,Redwood City,California,BYOD-400S,Drone Kits,129.95,2,259.9
2020-02-14,150,Houston,Texas,RCB-889 Robot,Robots,549,3,1647
2020-02-15,2040,Roanoke,Virginia,Creature Robot Arms Blueprint,Blueprints,12,3,36
2020-02-15,1414,Oakland,California,Creature Robot Arms Blueprint,Blueprints,12,6,72
2020-02-15,560,Phoenix,Arizona,BYOD-500,Drone Kits,167,2,334
2020-02-15,1170,Little Rock,Arkansas,Hexacopter Drone Blueprint,Blueprints,8.99,2,17.98
2020-02-15,866,Madison,Wisconsin,Photograph Drones,eBooks,14.99,5,74.95
2020-02-16,1198,Odessa,Texas,Polar Robots,eBooks,23.99,2,47.98
2020-02-16,962,Saginaw,Michigan,DTD-7000 Drone,Drones,450,1,450
2020-02-16,1114,Minneapolis,Minnesota,Cartesian Robots,eBooks,12.99,4,51.96
2020-02-16,1123,Salt Lake City,Utah,Virtual Reality Basics,Training Videos,29.99,3,89.97
2020-02-16,1457,Aiken,South Carolina,RLK-9920 Robot,Robots,699,3,2097
2020-02-16,132,Saint Louis,Missouri,DC-304 Drone,Drones,395,5,1975
2020-02-16,1946,Atlanta,Georgia,DA-SA702 Drone,Drones,399,3,1197
2020-02-16,1879,Knoxville,Tennessee,Helicopter Drones,eBooks,20.95,3,62.849999999999994
2020-02-17,422,Des Moines,Iowa,Helicopter Drones,eBooks,20.95,4,83.8
2020-02-17,1861,Saginaw,Michigan,Understanding Drone Regulations,Training Videos,27.5,3,82.5
2020-02-18,633,Garland,Texas,Building Your First Robot,eBooks,24.95,4,99.8
2020-02-18,1932,Little Rock,Arkansas,BYOD-400S,Drone Kits,129.95,6,779.6999999999999
2020-02-18,1447,Boise,Idaho,Bsquare Robot Blueprint,Blueprints,8.99,4,35.96
2020-02-18,973,Miami,Florida,BYOD-500,Drone Kits,167,4,668
2020-02-18,2082,El Paso,Texas,BYOD-100,Drone Kits,54,5,270
2020-02-18,735,Boise,Idaho,Understanding Raspberry PI,Training Videos,28.99,3,86.97
2020-02-18,1434,San Francisco,California,DA-SA702 Drone,Drones,399,5,1995
2020-02-19,724,Erie,Pennsylvania,RTF Drones,eBooks,16.99,2,33.98
2020-02-19,867,New York City,New York,RQTE-554 Robot,Robots,684,6,4104
2020-02-20,1909,Cape Coral,Florida,Sleepy Eye Blueprint,Blueprints,11.99,5,59.95
2020-02-20,1928,Denver,Colorado,Delta Robots,eBooks,16.99,4,67.96
2020-02-20,126,Canton,Ohio,BYOD-350,Drone Kits,89.95,5,449.75
2020-02-20,678,Charlotte,North Carolina,BYOD-300,Drone Kits,89,4,356
2020-02-21,1950,Evansville,Indiana,Spherical Robots,eBooks,16.75,4,67
2020-02-21,1946,Atlanta,Georgia,RLK-9920 Robot,Robots,699,5,3495
2020-02-21,1480,Birmingham,Alabama,BYOD-400S,Drone Kits,129.95,2,259.9
2020-02-21,1647,Tulsa,Oklahoma,Ladybug Robot Blueprint,Blueprints,12,3,36
2020-02-21,1578,Cincinnati,Ohio,Creature Robot Arms Blueprint,Blueprints,12,3,36
2020-02-21,1226,Lincoln,Nebraska,BYOD-550,Drone Kits,179,5,895
2020-02-21,1204,South Bend,Indiana,Understanding Drone Regulations,Training Videos,27.5,5,137.5
2020-02-21,198,Omaha,Nebraska,Panda Robot Blueprint,Blueprints,7.99,5,39.95
2020-02-21,340,Oakland,California,Aerial Security,Training Videos,36.99,3,110.97
2020-02-22,1006,Grand Junction,Colorado,Hexacopter Drone Blueprint,Blueprints,8.99,4,35.96
2020-02-24,497,Elizabeth,New Jersey,Sleepy Eye Blueprint,Blueprints,11.99,2,23.98
2020-02-24,2101,New Haven,Connecticut,Spherical Robots,eBooks,16.75,2,33.5
2020-02-24,1454,Minneapolis,Minnesota,BYOD-100,Drone Kits,54,1,54
2020-02-24,2099,Mesa,Arizona,BYOR-2640S,Robot Kits,189,2,378
2020-02-24,28,Corpus Christi,Texas,Robotic Essentials,Training Videos,34.99,2,69.98
2020-02-24,146,Newark,New Jersey,Understanding Raspberry PI,Training Videos,28.99,1,28.99
2020-02-25,813,Mobile,Alabama,DTE-QFN20 Drone,Drones,250,2,500
2020-02-25,1603,Detroit,Michigan,Spherical Robots,eBooks,16.75,1,16.75
2020-02-25,505,Memphis,Tennessee,Understanding Arduino,eBooks,17.5,3,52.5
2020-02-25,119,Inglewood,California,RCB-889 Robot,Robots,549,3,1647
2020-02-25,1421,El Paso,Texas,Helicopter Drones,eBooks,20.95,3,62.849999999999994
2020-02-25,1959,Saint Louis,Missouri,GPS Drones,eBooks,19.99,5,99.94999999999999
2020-02-25,1863,Evansville,Indiana,BYOR-4005,Robot Kits,245,3,735
2020-02-25,680,Washington,District of Columbia,Understanding Artificial Intelligence,eBooks,19.5,1,19.5
2020-02-25,1742,Peoria,Illinois,Creature Robot Arms Blueprint,Blueprints,12,4,48
2020-02-25,1608,Lafayette,Indiana,Ladybug Robot Blueprint,Blueprints,12,3,36
2020-02-26,607,Beaufort,South Carolina,Multi Rotor Drones,eBooks,24.95,3,74.85
2020-02-26,1802,Philadelphia,Pennsylvania,BYOD-400,Drone Kits,119,3,357
2020-02-26,1500,Stamford,Connecticut,Polar Robots,eBooks,23.99,4,95.96
2020-02-26,1911,Miami,Florida,Understanding Arduino,eBooks,17.5,5,87.5
2020-02-26,915,Clearwater,Florida,Open Source Code,Training Videos,32.95,5,164.75
2020-02-26,653,Spokane,Washington,Fixed Wing Drones,eBooks,15.5,2,31
2020-02-27,1187,San Francisco,California,BYOR-1000,Robot Kits,189,4,756
2020-02-27,580,San Diego,California,Drone Video Techniques,Training Videos,37.99,4,151.96
2020-02-28,133,Savannah,Georgia,Helicopter Drones,eBooks,20.95,5,104.75
2020-02-28,1334,Trenton,New Jersey,RXW-9807 Robot,Robots,599,3,1797
2020-02-28,522,Newark,Delaware,Spherical Robots,eBooks,16.75,4,67
2020-02-28,1851,Lafayette,Louisiana,Building Your First Robot,eBooks,24.95,4,99.8
2020-02-28,705,Birmingham,Alabama,DTI-84 Drone,Drones,455,4,1820
2020-02-29,363,Los Angeles,California,Single Rotor Drones,eBooks,14.99,1,14.99
2020-02-29,599,Washington,District of Columbia,RCB-889 Robot,Robots,549,5,2745
2020-03-01,1474,Chico,California,BYOD-300,Drone Kits,89,3,267
2020-03-01,1309,Santa Rosa,California,Creature Robot Arms Blueprint,Blueprints,12,4,48
2020-03-01,1258,Los Angeles,California,RCB-889 Robot,Robots,549,3,1647
2020-03-01,1565,Lancaster,Pennsylvania,Helicopter Drones,eBooks,20.95,3,62.849999999999994
2020-03-01,358,Columbus,Ohio,BYOR-1500,Robot Kits,189,2,378
2020-03-02,2041,Evansville,Indiana,BYOR-1000,Robot Kits,189,4,756
2020-03-02,2022,Silver Spring,Maryland,DTD-7000 Drone,Drones,450,4,1800
2020-03-02,1688,Simi Valley,California,Drone Video Techniques,Training Videos,37.99,2,75.98
2020-03-02,1223,Billings,Montana,Delta Robots,eBooks,16.99,2,33.98
2020-03-02,1712,Washington,District of Columbia,BYOD-350,Drone Kits,89.95,5,449.75
2020-03-02,423,Stockton,California,BYOD-200,Drone Kits,58.95,2,117.9
2020-03-02,1711,Saint Paul,Minnesota,Sleepy Eye Blueprint,Blueprints,11.99,2,23.98
2020-03-02,912,Kansas City,Missouri,QuadroCopter Blueprint,Blueprints,10.99,5,54.95
2020-03-02,1570,Minneapolis,Minnesota,DTE-QFN20 Drone,Drones,250,4,1000
2020-03-03,1726,Chicago,Illinois,BYOR-3000,Robot Kits,214,3,642
2020-03-03,981,Richmond,Virginia,Industrial 3D Printing,Training Videos,49,2,98
2020-03-03,1884,Arlington,Texas,RWW-75 Robot,Robots,883,5,4415
2020-03-03,1289,Portland,Oregon,Delta Robots,eBooks,16.99,3,50.97
2020-03-03,1209,Brooklyn,New York,Understanding Raspberry PI,Training Videos,28.99,3,86.97
2020-03-03,404,Madison,Wisconsin,MICR-23K Robot,Robots,899,1,899
2020-03-03,1102,Brooklyn,New York,RCB-889 Robot,Robots,549,3,1647
2020-03-03,1520,Washington,District of Columbia,DC-304 Drone,Drones,395,3,1185
2020-03-03,2045,Santa Fe,New Mexico,Fixed Wing Drones,eBooks,15.5,4,62
2020-03-04,1445,Fresno,California,BYOD-500,Drone Kits,167,1,167
