Production Year,Production Date Entered,Operator,County,Town,Field,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Injection Wells,Disposal Wells,Self-use Well,"Oil Produced, bbl","Gas Produced, Mcf","Water produced, bbl","Taxable Gas, Mcf",Purchaser Codes,Location
1991,1992-04-01,Cabot Oil & Gas Corp.,Chautauqua,CLYMER,CLYMER,ONONDAGA-BASS ISLAND,4,1,3,1,0,0,NO,13143,26975,6276,0,"GH,OA,OB","CLYMER, NY
(42.02082, -79.629966)"
1991,1992-04-01,TGX Corp.,Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,3,1,2,0,0,0,NO,601,6181,490,0,"GH,OB","GERRY, NY
(42.194749, -79.250394)"
1991,1992-04-01,TGX Corp.,Chautauqua,ELLERY,ELLERY,ONONDAGA-BASS ISLAND,1,0,0,0,0,0,NO,5172,3767,6058,0,"OA,OB","ELLERY, NY
(42.159868, -79.393216)"
1991,1992-04-02,"Winger, Philip G. & Diane E.",Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,3,0,0,0,0,0,NO,300,180,270,0,OB,"CARROLLTON, NY
(42.023289, -78.628438)"
1991,1992-04-02,Estate of  Richard G Smith,Allegany,GENESEE,RICHBURG,RICHBURG,3,3,0,0,0,0,NO,121,5,140,0,OB,"GENESEE, NY
(42.02693, -78.205893)"
1991,1992-04-03,"Walchli, John W. Jr.",Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,13,0,0,0,0,0,NO,735,7413,20,0,"GK,OB","INDEPENDENCE, NY
(42.088045, -77.781386)"
1991,1992-04-03,"Walchli, John W. Jr.",Steuben,WEST UNION,BEECH HILL-INDEPENDENCE,PENNY,13,0,0,0,0,0,NO,1011,780,48,0,"GK,OB","WEST UNION, NY
(42.094951, -77.725816)"
1991,1992-04-03,"Walchli, John W. Jr.",Steuben,WEST UNION,BEECH HILL-INDEPENDENCE,PENNY,13,0,0,0,0,0,,1011,16605,41,0,"GK,OB","WEST UNION, NY
(42.094951, -77.725816)"
1991,1992-04-03,"Smith, Gerald G. J.",Allegany,GENESEE,RICHBURG,RICHBURG,5,14,0,0,0,0,NO,545,50,525,0,OB,"GENESEE, NY
(42.02693, -78.205893)"
1991,1992-04-03,"Chautauqua Energy, Inc.",Chautauqua,CLYMER,CLYMER,ONONDAGA-BASS ISLAND,1,0,0,0,0,0,NO,1126,200,1167,0,OA,"CLYMER, NY
(42.02082, -79.629966)"
1991,1992-04-03,Smith & Forness,Allegany,GENESEE,RICHBURG,RICHBURG,1,3,0,0,0,0,NO,325,10,250,0,OB,"GENESEE, NY
(42.02693, -78.205893)"
1991,1992-04-03,"Chautauqua Energy, Inc.",Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA,1,0,0,0,0,0,NO,6074,8202,389,8202,"GX,OA","GERRY, NY
(42.194749, -79.250394)"
1991,1992-04-03,Eastern American Energy Corp.,Cattaraugus,RANDOLPH,LAKESHORE,MEDINA,0,0,57,1,0,0,NO,850,88994,1000,0,"GH,OB","RANDOLPH, NY
(42.161398, -78.978764)"
1991,1992-04-14,Fault Line Oil Corporation,Cattaraugus,ASHFORD,DUTCH HILL,ONONDAGA,1,0,0,0,0,0,NO,3733,2504,0,0,"GK,OA","ASHFORD, NY
(42.403846, -78.612179)"
1991,1992-04-14,Altimus & Associates,Chautauqua,POMFRET,FREDONIA,ONONDAGA,1,0,0,0,0,0,YES,3,1,0,0,,"POMFRET, NY
(42.439996, -79.331441)"
1991,1992-05-08,Gemini Oil Company,Chautauqua,BUSTI,BUSTI,GLADE,23,0,0,0,0,0,NO,243,121,58,0,OB,"BUSTI, NY
(42.038067, -79.283549)"
1991,1992-06-02,"Wightman, Robert N.",Allegany,WIRT,RICHBURG,RICHBURG,8,1,0,0,0,0,NO,45,8,0,0,OB,"WIRT, NY
(42.137408, -78.150594)"
1991,1992-07-13,"Lenape Resources Corp., The",Chautauqua,ELLERY,ELLERY,ONONDAGA-BASS ISLAND,11,5,0,0,0,0,NO,4741,15020,1555,15020,"GK,OB","ELLERY, NY
(42.159868, -79.393216)"
1992,1993-03-25,"Curtis & Son Oil, Inc.",Chautauqua,BUSTI,BUSTI,GLADE,24,0,0,0,0,0,,854,427,1133,0,"OB,OC","BUSTI, NY
(42.038067, -79.283549)"
1992,1993-03-25,B & H Oil Co.,Allegany,BOLIVAR,RICHBURG,RICHBURG,10,0,0,0,0,0,NO,270,2083,180,2083,"GK,OC","BOLIVAR, NY
(42.066701, -78.167667)"
1992,1993-03-25,Cabot Oil & Gas Corp.,Chautauqua,CLYMER,CLYMER,ONONDAGA-BASS ISLAND,1,0,2,0,0,0,NO,4481,5719,4045,5719,GH,"CLYMER, NY
(42.02082, -79.629966)"
1992,1993-03-25,Cabot Oil & Gas Corp.,Chautauqua,HARMONY,LAKESHORE,MEDINA,0,0,7,0,0,0,NO,3824,69243,3298,68376,GH,"HARMONY, NY
(42.074924, -79.486378)"
1992,1993-03-26,Libra Petroleum Company,Chautauqua,BUSTI,BUSTI,GLADE,67,6,0,0,0,0,,790,394,316,0,"OB,OC","BUSTI, NY
(42.038067, -79.283549)"
1992,1993-03-26,Lenacre Oil Co.,Chautauqua,BUSTI,BUSTI,GLADE,51,0,0,0,0,0,YES,629,314,309,0,"OB,OC","BUSTI, NY
(42.038067, -79.283549)"
1992,1993-03-29,Potter Oil Co.,Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,29,0,0,0,0,0,NO,816,5166,730,5166,"GK,OC","INDEPENDENCE, NY
(42.088045, -77.781386)"
1992,1993-03-30,Gemini Oil Company,Chautauqua,BUSTI,BUSTI,GLADE,23,0,0,0,0,0,NO,211,106,29,0,"OB,OC","BUSTI, NY
(42.038067, -79.283549)"
1992,1993-04-02,"Clark, Bruce N.",Allegany,ANDOVER,FULMER VALLEY,PENNY & FULMER VALLEY,9,0,0,0,0,0,NO,61,72,0,0,,"ANDOVER, NY
(42.156405, -77.795231)"
1992,1993-04-05,Pennsylvania General Energy,Cattaraugus,CARROLLTON,BRADFORD,BRADFORD,241,0,0,0,0,0,NO,26522,26522,2651,0,OC,"CARROLLTON, NY
(42.023289, -78.628438)"
1992,1993-04-05,"Oil, Gas & Land Services, Inc.",Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,10,0,5,0,0,0,NO,14348,76725,14547,76725,"GX,OA,OC","GERRY, NY
(42.194749, -79.250394)"
1992,1993-04-05,"Oil, Gas & Land Services, Inc.",Chautauqua,ELLERY,ELLERY,ONONDAGA-BASS ISLAND,5,0,0,0,0,0,NO,1188,2406,3460,2406,GX,"ELLERY, NY
(42.159868, -79.393216)"
1992,1993-04-05,U S Energy Development Corp.,Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,2,0,0,1,0,0,NO,401,17772,751,17772,"GH,GK,OB","GERRY, NY
(42.194749, -79.250394)"
1992,1993-04-05,U S Energy Development Corp.,Chautauqua,NORTH HARMONY,NORTH HARMONY,ONONDAGA-BASS ISLAND,1,0,1,1,0,0,NO,420,12298,645,12298,"GH,OB","NORTH HARMONY, NY
(42.094296, -79.374999)"
1992,1993-04-05,U S Energy Development Corp.,Chautauqua,SHERMAN,HARMONY,ONONDAGA-BASS ISLAND,1,0,0,0,0,0,NO,2264,1182,970,1182,GH,"SHERMAN, NY
(42.159351, -79.595176)"
1992,1993-04-05,Pennzoil Products Co.,Cattaraugus,OLEAN,BRADFORD,ONONDAGA,0,0,1,0,0,0,NO,274,219753,0,219753,"GK,OX","OLEAN, NY
(42.077495, -78.429849)"
1992,1993-04-06,"Wood, David A.",Cattaraugus,OLEAN,BRADFORD,BRADFORD,11,9,0,0,0,0,,583,7,48,0,OA,"OLEAN, NY
(42.077495, -78.429849)"
1992,1993-04-06,"Winger, Philip G. & Diane E.",Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,3,0,0,0,0,0,,310,210,240,0,OC,"CARROLLTON, NY
(42.023289, -78.628438)"
1992,1993-04-06,"Stedman Energy, Inc.",Chautauqua,ELLERY,ELLERY,ONONDAGA-BASS ISLAND,2,0,0,0,0,0,NO,179,755,1005,755,"GK,OA","ELLERY, NY
(42.159868, -79.393216)"
1992,1993-04-06,"Empire Exploration, Inc.",Erie,CONCORD,CONCORD-ONONDAGA,ONONDAGA,1,0,3,1,0,0,NO,220,95518,465,95518,"GK,OA","CONCORD, NY
(42.535259, -78.731387)"
1992,1993-04-07,"Yahn & Yahn, Inc.",Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,12,1,0,0,3,0,YES,207,60,120,0,"OB,OC","INDEPENDENCE, NY
(42.088045, -77.781386)"
1992,1993-04-07,Estate of  Richard G Smith,Allegany,GENESEE,RICHBURG,RICHBURG,6,0,0,0,0,0,NO,115,5,110,0,OC,"GENESEE, NY
(42.02693, -78.205893)"
1992,1993-04-08,"Chautauqua Energy, Inc.",Chautauqua,NORTH HARMONY,NORTH HARMONY,ONONDAGA-BASS ISLAND,2,0,4,1,0,0,NO,3634,13591,5360,12391,"GA,OA","NORTH HARMONY, NY
(42.094296, -79.374999)"
1992,1993-04-08,"Chautauqua Energy, Inc.",Chautauqua,CLYMER,CLYMER,ONONDAGA-BASS ISLAND,1,0,0,0,0,0,NO,628,200,2550,0,"GA,OA","CLYMER, NY
(42.02082, -79.629966)"
1992,1993-04-08,"Chautauqua Energy, Inc.",Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,1,0,0,0,0,0,NO,5348,6508,60,6308,"GA,OA,OB","GERRY, NY
(42.194749, -79.250394)"
1992,1993-04-09,"Fitzgerald, Thomas J.",Allegany,CLARKSVILLE,RICHBURG,RICHBURG,5,0,0,0,0,0,NO,9,280,0,205,OC,"CLARKSVILLE, NY
(42.575802, -73.964401)"
1992,1993-04-13,Richardson Petroleum Corp.,Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,118,0,0,0,13,0,NO,16370,48065,13342,48065,"GK,OC","INDEPENDENCE, NY
(42.088045, -77.781386)"
1992,1993-04-13,Kinley Oil & Gas Corp.,Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,94,0,0,0,0,0,NO,10061,2000,61520,0,"OB,OC","ALLEGANY, NY
(42.088061, -78.491258)"
1992,1993-04-13,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,CHIPMUNK,31,51,1,0,21,0,NO,7175,3917,150942,3917,"GK,OA","CARROLLTON, NY
(42.023289, -78.628438)"
1992,1993-04-13,Richardson Petroleum Corp.,Steuben,WEST UNION,BEECH HILL-INDEPENDENCE,FULMER VALLEY,30,0,0,0,0,0,NO,24265,8002,2823,8002,"GK,OB,OC","WEST UNION, NY
(42.094951, -77.725816)"
1992,1993-04-13,"Otis Eastern Service, Inc.",Allegany,WIRT,RICHBURG,RICHBURG,16,0,0,0,0,0,NO,430,200,8,0,OC,"WIRT, NY
(42.137408, -78.150594)"
1992,1993-04-13,"Otis Eastern Service, Inc.",Allegany,ANDOVER,FULMER VALLEY,PENNY,7,0,0,0,0,0,NO,168,550,3,0,OC,"ANDOVER, NY
(42.156405, -77.795231)"
1992,1993-04-13,"Stark, Eric",Allegany,INDEPENDENCE,FULMER VALLEY,FULMER VALLEY,2,0,0,0,0,0,NO,53,1,20,0,OC,"INDEPENDENCE, NY
(42.088045, -77.781386)"
1992,1993-04-16,"Yahn & Yahn, Inc.",Steuben,WEST UNION,BEECH HILL-INDEPENDENCE,FULMER VALLEY,27,0,13,0,1,0,NO,991,250,375,0,"OB,OC","WEST UNION, NY
(42.094951, -77.725816)"
1992,1993-04-19,Cal Ban Corp.,Cattaraugus,ALLEGANY,FIVE MILE,BRADFORD,110,0,0,0,0,0,NO,8154,8154,904,0,OA,"ALLEGANY, NY
(42.088061, -78.491258)"
1992,1993-04-19,"Ekas, David & Archer",Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,16,0,0,0,0,0,NO,239,126,158,0,OC,"CARROLLTON, NY
(42.023289, -78.628438)"
1992,1993-04-19,A. J. Lease Account,Cattaraugus,ALLEGANY,FIVE MILE,CHIPMUNK,2,0,0,1,0,0,NO,100,100,0,0,OA,"ALLEGANY, NY
(42.088061, -78.491258)"
1992,1993-04-19,Eastern American Energy Corp.,Cattaraugus,RANDOLPH,LAKESHORE,MEDINA,0,0,57,0,0,0,NO,596,116223,950,109642,"GH,OB,OC","RANDOLPH, NY
(42.161398, -78.978764)"
