TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,TransactionDate,MonthTransaction,TransactionAmount(IDR),CustAccountBalance(IDR)
T48,C7542443,1989-12-29,M,Surabaya,2016-08-03,March,11034.6585,4680110.9505
T49,C6427687,1981-04-07,M,Makassar,2016-08-02,February,10205.25,401225.898
T69,C2726074,1985-02-10,F,Semarang,2016-08-01,January,1808463.075,73430224.98
T70,C8017865,1982-03-14,F,Jakarta,2016-08-01,January,26348.1,16306913.31
T71,C8932791,1983-10-09,M,Semarang,2016-08-01,January,1161491.046,1022701.5015
T72,C2725826,1980-03-15,M,Jakarta,2016-08-01,January,39522.15,3950676.7905
T73,C6694517,1977-10-08,M,Surabaya,2016-08-01,January,123576.3,2394224.0145
T74,C7527844,1982-02-16,M,Jakarta,2016-08-01,January,741828.9,3827.8965
T75,C2016883,1994-08-20,F,Bandung,2016-08-01,January,94073.85,1098847.5105
T76,C5930363,1994-08-20,M,Jakarta,2016-08-01,January,148440.0,510.2625000000001
T77,C1021343,1980-02-23,M,Makassar,2016-08-01,January,86651.85,24993221.322000004
T78,C5529374,1984-06-24,M,Surabaya,2016-08-01,January,18183.9,2866552.6725000003
T79,C3013442,1990-10-30,M,Bandung,2016-08-01,January,10576.35,5161750.5075
T82,C4824547,1984-05-07,F,Jakarta,2016-08-01,January,60489.3,6415365.273
T83,C1711530,1992-02-15,M,Jakarta,2016-08-01,January,556097.061,1632385.4025
T84,C8640537,1990-08-29,F,Jakarta,2016-08-01,January,304673.10000000003,554462.3655000001
T41473,C3613226,1993-08-27,M,Makassar,2016-08-03,March,51954.0,425273.178
T41475,C7513235,1993-08-27,M,Makassar,2016-08-03,March,26904.75,425273.178
T41476,C3640125,1992-03-07,M,Jakarta,2016-08-03,March,27275.85,1208431.485
T41477,C1630024,1990-01-01,F,Jakarta,2016-08-03,March,154748.7,7969986.6705
T41480,C5538085,1993-03-23,M,Bandung,2016-08-03,March,45645.3,9826076.7195
T41481,C8542551,1989-04-29,M,Makassar,2016-08-03,March,46387.5,55610834.244
T41482,C2010012,1987-10-24,M,Semarang,2016-08-03,March,161614.05000000002,3687388.7625
T41485,C1322777,1980-10-06,M,Semarang,2016-08-03,March,3711.0,2062141.4685
T41487,C3627288,1988-01-12,M,Jakarta,2016-08-03,March,39336.600000000006,20948.595
T41488,C3822418,1984-08-21,M,Semarang,2016-08-03,March,37110.0,377670.3255
T41489,C3316027,1993-01-03,M,Surabaya,2016-08-03,March,12802.95,97211.5005
T41490,C3038521,1992-04-11,M,Bandung,2016-08-03,March,37110.0,51425.1825
T41491,C2712936,1978-04-06,M,Bandung,2016-08-03,March,73848.90000000001,2339355.024
T41492,C4618851,1992-06-06,M,Makassar,2016-08-03,March,45088.65,2876162.307
T41493,C5117913,1988-06-14,M,Surabaya,2016-08-03,March,46016.4,79962.7725
T41495,C5622639,1984-09-19,M,Makassar,2016-08-03,March,979.704,247299.1845
T41497,C5380124,1992-06-09,M,Bandung,2016-08-03,March,9277.5,528387.024
T41498,C2311877,1990-12-06,F,Surabaya,2016-08-03,March,30244.65,11203601.775
T41500,C1716681,1987-01-30,M,Makassar,2016-08-03,March,27832.5,1551912.3675000002
T41502,C3710666,1979-07-26,M,Jakarta,2016-08-03,March,1113.3000000000002,1688746.215
T41503,C7837662,1991-01-20,F,Jakarta,2016-08-03,March,56592.75,1.8555
T41504,C7434869,1993-11-17,F,Jakarta,2016-08-03,March,18555.0,5325943.702500001
T41505,C6715390,1983-03-12,M,Jakarta,2016-08-03,March,37110.0,2385972.606
T41506,C9027639,1991-04-18,M,Bandung,2016-08-03,March,55665.0,85575.66
T41507,C6221930,1987-03-21,M,Surabaya,2016-08-03,March,9834.15,1735393.4850000003
T41508,C2649866,1974-06-03,M,Jakarta,2016-08-03,March,46387.5,1432327.248
T41511,C4724026,1989-08-07,M,Surabaya,2016-08-03,March,5937.6,25869.381
T41512,C5813971,1988-07-13,M,Surabaya,2016-08-03,March,4453.200000000001,35727.652500000004
T41513,C6310823,1989-05-23,M,Semarang,2016-08-03,March,23193.75,4579173.606
T41514,C5036276,1993-03-29,M,Semarang,2016-08-03,March,30615.750000000004,17947722.6825
T41516,C8729225,1992-12-06,M,Semarang,2016-08-03,March,129885.0,3315335.0355
T41517,C2856060,1992-09-02,M,Surabaya,2016-08-03,March,70739.08200000001,30666895.002000004
T41518,C8726959,1984-11-12,M,Semarang,2016-08-03,March,4267.650000000001,4419684.1035
T41519,C6024356,1991-08-14,M,Jakarta,2016-08-03,March,50098.5,6223167.0165
T41521,C7025364,1995-06-19,M,Surabaya,2016-08-03,March,74776.65000000001,2545803.5205
T41522,C3825241,1992-05-09,F,Bandung,2016-08-03,March,54922.8,88536392.28600001
T41524,C4936852,1997-01-16,M,Jakarta,2016-08-03,March,12988.5,9078.9615
T41525,C1626262,1984-02-12,M,Makassar,2016-08-03,March,100753.65,3273909.1425
T41526,C4037978,1987-08-14,M,Semarang,2016-08-03,March,64942.50000000001,2314680.5850000004
T41527,C4012484,1991-04-23,M,Semarang,2016-08-03,March,309126.30000000005,57743451.3135
T41528,C4830630,1986-05-19,M,Jakarta,2016-08-03,March,27832.5,5730516.9225
T41530,C7830038,1990-06-06,M,Surabaya,2016-08-03,March,16885.05,11099361.6405
T41531,C2284237,1982-11-20,F,Jakarta,2016-08-03,March,74220.0,911675.8035
T41532,C5617919,1989-10-05,M,Bandung,2016-08-03,March,37110.0,3694901.682000001
T41533,C7939147,1981-10-11,M,Jakarta,2016-08-03,March,43604.25,10470300.753
T41534,C5041652,1988-10-22,M,Jakarta,2016-08-03,March,18555.0,36091.3305
T41535,C6328279,1990-06-09,M,Bandung,2016-08-03,March,55665.0,3895204.7625
T41536,C7330548,1988-10-19,M,Jakarta,2016-08-03,March,37110.0,934628.3385
T41537,C3436852,1995-05-20,F,Bandung,2016-08-03,March,9277.5,1515652.1865
T41538,C4221054,1993-08-11,M,Makassar,2016-08-03,March,9091.95,2930932.956
T41539,C6916053,1976-03-23,F,Surabaya,2016-08-03,March,143430.15000000002,10394974.875
T41540,C4239180,1983-04-04,F,Bandung,2016-08-03,March,92775.0,101044.9635
T41541,C7129584,1985-11-07,F,Jakarta,2016-08-03,March,11133.0,8995.464
T41542,C2627687,1992-04-13,M,Bandung,2016-08-03,March,556650.0,9212.5575
T41543,C3825567,1992-03-29,M,Jakarta,2016-08-03,March,129885.0,979060.1415
T41544,C5120643,1985-04-14,M,Jakarta,2016-08-03,March,64942.50000000001,99376.86900000002
T41545,C4111049,1982-06-20,F,Surabaya,2016-08-03,March,60489.3,1765460.007
T41547,C4041843,1989-03-07,M,Jakarta,2016-08-03,March,9277.5,694014.5205
T41548,C8819220,1982-09-29,F,Semarang,2016-08-03,March,115968.75,6821189.100000001
T41549,C1433785,1992-02-26,F,Jakarta,2016-08-03,March,166995.0,12654.510000000002
T41550,C5111831,1989-02-12,F,Bandung,2016-08-03,March,312531.1425,7174836.267000001
T41551,C2235535,1989-01-08,F,Makassar,2016-08-03,March,3711.0,511800.7095
T41552,C5131517,1993-10-31,F,Jakarta,2016-08-03,March,228783.15,418893.969
T41553,C4337072,1980-10-03,M,Semarang,2016-08-03,March,14658.45,750275.136
T41555,C5231940,1979-05-04,F,Makassar,2016-08-03,March,52325.100000000006,5774746.476000001
T41557,C6419224,1990-01-19,M,Jakarta,2016-08-03,March,55665.0,180256.25850000005
T41558,C7030165,1993-09-15,F,Bandung,2016-08-03,March,1855.5,1026980.2845
T41559,C6611041,1987-08-01,F,Bandung,2016-08-03,March,92775.0,2719697.2695
T41560,C8053890,1993-09-22,M,Jakarta,2016-08-03,March,33027.9,209844.0615
T41561,C3931848,1992-05-19,M,Surabaya,2016-08-03,March,5566.5,70186.143
T41562,C4316983,1987-10-12,M,Bandung,2016-08-03,March,14844.0,1886490.561
T41563,C6728875,1992-12-31,M,Bandung,2016-08-03,March,45830.850000000006,1445679.426
T41564,C8537358,1989-04-23,M,Makassar,2016-08-03,March,29688.0,423009.46800000005
T41565,C3627750,1989-11-28,F,Surabaya,2016-08-03,March,46387.5,2884148.379
T41566,C7030852,1995-07-01,F,Surabaya,2016-08-03,March,18555.0,16398331.9395
T41567,C3519836,1992-07-11,M,Bandung,2016-08-03,March,55108.350000000006,76775.0235
T41569,C6226665,1985-03-08,M,Jakarta,2016-08-03,March,37110.0,6580682.901000001
T41571,C8731440,1989-09-28,F,Makassar,2016-08-03,March,37110.0,1198461.8835000002
T41572,C5342534,1980-01-08,M,Jakarta,2016-08-03,March,15771.750000000002,3295.3680000000004
T41573,C4831659,1982-11-02,M,Jakarta,2016-08-03,March,22266.0,79057930.503
T41575,C7732675,1984-10-08,M,Jakarta,2016-08-03,March,184993.35,7024741.160999999
T41576,C8122725,1985-09-14,F,Jakarta,2016-08-03,March,233793.0,40528181.6895
T41577,C1213613,1986-03-31,M,Surabaya,2016-08-03,March,55665.0,799946.871
T41578,C4034161,1974-05-28,M,Makassar,2016-08-03,March,300591.0,6708922.0725
T41580,C7733148,1980-11-09,M,Surabaya,2016-08-03,March,55665.0,82206.07200000001
T41581,C5634453,1984-06-03,M,Jakarta,2016-08-03,March,92775.0,2033928.591
T41582,C1737185,1989-03-01,M,Jakarta,2016-08-03,March,55665.0,3746723.9415
T41584,C3128154,1990-04-09,M,Jakarta,2016-08-03,March,36367.8,1738896.669
T41585,C8024829,1993-10-08,M,Surabaya,2016-08-03,March,3711.0,3341634.8925
T41587,C3129529,1992-10-27,M,Jakarta,2016-08-03,March,5566.5,42136.5495
T41588,C4525521,1983-07-20,F,Bandung,2016-08-03,March,98350.7775,32256937.8945
T41590,C2841148,1990-06-21,M,Jakarta,2016-08-03,March,278325.0,14463349.7415
T41591,C5847290,1989-03-15,M,Bandung,2016-08-03,March,53067.3,4586246.772000001
T41592,C9033930,1989-04-02,M,Makassar,2016-08-03,March,290385.75,24632666.1285
T41593,C3430461,1983-12-15,M,Jakarta,2016-08-03,March,100197.0,5345419.0305
T41594,C6631230,1985-04-29,M,Surabaya,2016-08-03,March,18555.0,42214634.5065
T41595,C3432565,1990-04-07,F,Jakarta,2016-08-03,March,40635.45,12628271.3745
T41597,C6456359,1984-07-15,M,Jakarta,2016-08-03,March,438640.2,15643377.2325
T41598,C9038233,1985-03-13,M,Bandung,2016-08-03,March,185550.0,4429570.2075000005
T41599,C6212088,1978-03-06,M,Bandung,2016-08-03,March,185550.0,7753520.329500001
T41602,C2436788,1987-01-26,M,Surabaya,2016-08-03,March,89435.1,3104270.055
T41603,C8823572,1985-07-28,M,Semarang,2016-08-03,March,37110.0,2167569.123
T41604,C8532915,1984-11-12,M,Surabaya,2016-08-03,March,185550.0,3689806.479
T41606,C7441791,1985-02-19,M,Semarang,2016-08-03,March,37295.55,7533506.2725
T41607,C5129522,1987-07-20,M,Jakarta,2016-08-03,March,147141.15000000002,11976133.6335
T41608,C3521679,1989-05-05,M,Jakarta,2016-08-03,March,37110.0,8237701.9215
T41609,C7128451,1996-02-17,F,Jakarta,2016-08-03,March,35811.15,4109618.920500001
T41610,C4518623,1981-10-03,M,Jakarta,2016-08-03,March,376597.8465,11388235.158
T41613,C4629663,1988-10-02,M,Makassar,2016-08-03,March,63643.65,483264.975
T41614,C2710770,1989-11-18,F,Jakarta,2016-08-03,March,48985.2,1250735.0295
T41615,C2826669,1988-06-29,M,Jakarta,2016-08-03,March,60448.479,889704.8280000001
T41616,C7018124,1989-06-14,M,Surabaya,2016-08-03,March,55665.0,702735.3705000001
T41617,C7540537,1985-07-20,M,Surabaya,2016-08-03,March,135080.4,36896919.9465
T41618,C5312955,1988-09-07,F,Surabaya,2016-08-03,March,351060.60000000003,5204074.4625
T41619,C1816431,1989-09-16,M,Bandung,2016-08-03,March,9277.5,37876.3215
T41621,C7815627,1977-03-07,M,Makassar,2016-08-03,March,452742.0,10529752.8285
T41622,C2711347,1993-05-20,M,Surabaya,2016-08-03,March,18740.550000000003,2276531.5050000004
T41623,C2925175,1991-03-20,M,Jakarta,2016-08-03,March,618438.15,102030.234
T41624,C2331161,1992-11-13,M,Jakarta,2016-08-03,March,538095.0,10901823.255
T41625,C6511355,1989-11-30,M,Jakarta,2016-08-03,March,37110.0,5713965.862500001
T41626,C3615239,1987-09-28,M,Surabaya,2016-08-03,March,417673.0500000001,3556616.8335000006
T41627,C9013972,1995-10-05,M,Semarang,2016-08-03,March,16699.5,358254.37350000005
T41629,C1842276,1987-07-09,M,Bandung,2016-08-03,March,742200.0,3008980.8525
T41630,C4224615,1989-09-02,M,Jakarta,2016-08-03,March,35811.15,6148499.841000001
T41632,C3124122,1989-01-31,M,Jakarta,2016-08-03,March,92654.39250000002,2871935.478
T41633,C7937049,1981-05-07,M,Bandung,2016-08-03,March,40821.0,1014216.3
T41635,C1713015,1991-04-04,F,Surabaya,2016-08-03,March,276469.5,4251514.572000001
T41636,C4525874,1986-12-25,M,Jakarta,2016-08-03,March,46387.5,22294140.513
T41637,C8767829,1994-12-01,M,Jakarta,2016-08-03,March,1855.5,789097.7625000001
T41638,C5014246,1978-07-11,M,Jakarta,2016-08-03,March,32471.250000000004,25988.133
T41639,C7816481,1977-08-27,M,Jakarta,2016-08-03,March,185550.0,260350.77150000003
T41641,C8922866,1982-09-24,F,Makassar,2016-08-03,March,92775.0,17929379.2095
T41643,C5025231,1979-04-06,M,Bandung,2016-08-03,March,92775.0,869624.607
T41645,C1024060,1987-04-06,F,Jakarta,2016-08-03,March,18555.0,6588045.525
T41646,C7433643,1985-06-17,M,Semarang,2016-08-03,March,370914.45,6791890.755
T41647,C1837381,1989-09-09,M,Bandung,2016-08-03,March,4638.75,26638829.0175
T41648,C6719337,1987-10-04,M,Semarang,2016-08-03,March,400045.8000000001,4249983.7845
T41649,C7619535,1991-10-07,M,Jakarta,2016-08-03,March,185550.0,4849197.099
T41650,C5111484,1989-11-13,F,Semarang,2016-08-03,March,9834.15,15242579.955000002
T41653,C2013012,1991-11-30,M,Bandung,2016-08-03,March,17441.7,2530694.184
T41654,C8398817,1990-05-14,M,Semarang,2016-08-03,March,92775.0,322031809.0515
T41656,C5415433,1981-09-12,M,Bandung,2016-08-03,March,5009.85,432593.1255
T41657,C8532025,1984-05-02,F,Surabaya,2016-08-03,March,52325.100000000006,3933420.6405
T41658,C4235975,1989-06-29,M,Bandung,2016-08-03,March,22266.0,10004015.458500002
T41659,C4645836,1991-08-10,M,Jakarta,2016-08-03,March,36184.1055,940588.2045
T41660,C3921647,1993-02-08,M,Surabaya,2016-08-03,March,263295.45,8300939.217000001
T41661,C8016511,1995-05-11,M,Makassar,2016-08-03,March,9277.5,12422.572500000002
T41662,C6138119,1992-08-27,M,Bandung,2016-08-03,March,84425.25,3199470.1935
T41664,C4040120,1992-03-07,M,Jakarta,2016-08-03,March,3711.0,1208431.485
T41665,C2026947,1992-02-17,F,Makassar,2016-08-03,March,150109.95,10880440.473
T41666,C7335924,1995-03-11,M,Bandung,2016-08-03,March,33399.0,41077444.944
T41667,C1417164,1985-04-02,M,Bandung,2016-08-03,March,366832.35,138275168.3565
T41668,C1698192,1989-04-25,M,Jakarta,2016-08-03,March,72364.5,142008.83700000003
T41670,C1233923,1995-03-04,F,Makassar,2016-08-03,March,241215.00000000003,5593408.461
T41671,C5313243,1995-11-10,F,Bandung,2016-08-03,March,4267.650000000001,600445.3665000001
T41673,C5115679,1992-04-13,F,Makassar,2016-08-03,March,18555.0,20069.088
T41674,C7688977,1992-04-26,M,Bandung,2016-08-03,March,134523.75,806123.8305
T41676,C6426481,1988-05-25,M,Surabaya,2016-08-03,March,11133.0,742545.123
T41677,C3634218,1991-08-16,M,Bandung,2016-08-03,March,9091.95,647242.932
T41678,C3618241,1984-08-26,M,Bandung,2016-08-03,March,48057.45,1954561.434
T41680,C2613387,1990-01-06,M,Jakarta,2016-08-03,March,5566.5,686778.0705
T41681,C6150450,1977-10-02,M,Makassar,2016-08-03,March,155862.0,9257672.127
T41682,C4910466,1989-06-26,M,Surabaya,2016-08-03,March,729211.5,1095769.236
T41683,C3911273,1993-06-21,F,Surabaya,2016-08-03,March,245419.563,261538.2915
T41685,C4749477,1985-02-01,M,Bandung,2016-08-03,March,161985.15000000002,7326464.016000001
T41687,C3713613,1992-06-15,M,Bandung,2016-08-03,March,27832.5,1809535.554
T41688,C3934526,1992-10-13,M,Jakarta,2016-08-03,March,185550.0,1174.5315
T41689,C5862851,1989-12-17,M,Jakarta,2016-08-03,March,55665.0,2970620.2455
T41690,C1737147,1989-07-09,M,Surabaya,2016-08-03,March,452370.9,2836458.3180000004
T41692,C6811876,1985-10-11,M,Jakarta,2016-08-03,March,1855500.0,90178830.7875
T41694,C4470970,1995-11-08,M,Jakarta,2016-08-03,March,70509.0,26486395.9815
T41695,C2025111,1986-02-16,M,Surabaya,2016-08-03,March,371100.0,1285269.5955
T41696,C6926177,1992-10-07,M,Bandung,2016-08-03,March,5566.5,7775424.507
T41698,C6659856,1985-03-01,M,Semarang,2016-08-03,March,12988.5,1295.139
T41699,C6070948,1995-11-08,M,Jakarta,2016-08-03,March,70509.0,26486395.9815
T41700,C1946374,1988-08-03,M,Surabaya,2016-08-03,March,14101.8,9126161.709
T41701,C4627163,1991-03-13,M,Makassar,2016-08-03,March,37110.0,13945075.192500005
T41703,C7925724,1993-02-13,M,Surabaya,2016-08-03,March,36738.9,1966572.0855000005
T41705,C1223230,1994-05-17,F,Jakarta,2016-08-03,March,35996.700000000004,4397779.926
T41706,C6757138,1995-03-24,M,Jakarta,2016-08-03,March,8349.75,5425749.192
T41707,C7956670,1991-10-09,F,Jakarta,2016-08-03,March,98341.5,166145.181
T41708,C8331619,1985-05-23,M,Semarang,2016-08-03,March,20410.5,928948.653
T41709,C3521667,1983-02-19,M,Semarang,2016-08-03,March,117351.09750000002,1717762.5240000002
T41710,C9013385,1982-02-12,M,Makassar,2016-08-03,March,1206075.0,23000952.417000003
T41712,C6014020,1993-06-18,M,Surabaya,2016-08-03,March,20410.5,170.70600000000002
T41713,C5376331,1985-10-01,M,Bandung,2016-08-03,March,20039.4,2295127.326
T41714,C4826423,1980-06-07,M,Jakarta,2016-08-03,March,927750.0,65751279.05100001
T41715,C4514176,1992-10-01,M,Bandung,2016-08-03,March,31357.95,3127435.9725
T41716,C7323627,1990-01-15,M,Bandung,2016-08-03,March,41006.55,14208353.943
T41717,C7980880,1993-05-27,M,Jakarta,2016-08-03,March,38965.5,3012556.401
T41718,C1014643,1993-04-05,M,Jakarta,2016-08-03,March,18555.0,36037.521
T41719,C2721832,1982-04-15,F,Bandung,2016-08-03,March,68653.5,1509783.2400000002
T41720,C8939964,1987-10-18,M,Surabaya,2016-08-03,March,12860.4705,6399213.1455
T41721,C4037930,1979-03-20,F,Bandung,2016-08-03,March,325840.64400000003,4835596.284000001
T41722,C2833539,1983-02-27,M,Makassar,2016-08-03,March,111330.0,18074672.2815
T41723,C2137968,1980-03-15,F,Surabaya,2016-08-03,March,18555.0,6256194.9165
T41724,C1715157,1990-04-29,M,Semarang,2016-08-03,March,3711000.0,3015773.838
T41725,C3020570,1991-09-23,M,Jakarta,2016-08-03,March,19111.65,367246.1265
T41728,C5388034,1976-06-09,M,Jakarta,2016-08-03,March,128771.7,10561945.753500002
T41729,C2119616,1985-01-18,F,Jakarta,2016-08-03,March,1669950.0,30426425.913000003
T41730,C2525725,1994-06-05,M,Surabaya,2016-08-03,March,48799.65,2814116.2425
T41731,C4716151,1992-11-15,M,Jakarta,2016-08-03,March,18768.382500000003,1666155.5025
T41732,C2121516,1990-05-07,M,Bandung,2016-08-03,March,188787.84750000003,6300259.330500001
T41733,C4913269,1990-03-19,M,Bandung,2016-08-03,March,92775.0,5408318.625
T41736,C1413381,1982-02-12,M,Makassar,2016-08-03,March,185364.45,23000952.417000003
T41737,C4929017,1992-09-22,F,Bandung,2016-08-03,March,92775.0,7883770.863000001
T41739,C6913941,1988-12-05,M,Semarang,2016-08-03,March,46387.5,9812149.3365
T41740,C3628719,1976-05-31,M,Semarang,2016-08-03,March,4728370.65,6870558.3885
T41741,C6022144,1976-02-20,M,Semarang,2016-08-03,March,259027.8,16025485.914
T41742,C1733642,1986-11-08,M,Makassar,2016-08-03,March,51954.0,105589107.1215
T41743,C3221517,1992-11-15,M,Surabaya,2016-08-03,March,38965.5,331203.03900000005
T41744,C7117668,1982-04-06,M,Jakarta,2016-08-03,March,19853.85,578487.3795
T41745,C5611544,1984-08-07,M,Jakarta,2016-08-03,March,92775.0,3075854.928
T41747,C2737951,1992-11-21,F,Surabaya,2016-08-03,March,355328.25,543446.2620000001
T41749,C4422366,1975-04-08,M,Makassar,2016-08-03,March,128586.15,3318621.126
T41750,C6515418,1976-09-06,M,Surabaya,2016-08-03,March,237689.55,10490084.094
T41751,C4525757,1986-11-29,M,Bandung,2016-08-03,March,81642.0,539317.7745
T41752,C2419839,1992-07-11,M,Bandung,2016-08-03,March,37110.0,76775.0235
T41754,C6233238,1977-11-09,F,Bandung,2016-08-03,March,32471.250000000004,29977745.6025
T41755,C6519362,1993-08-18,F,Surabaya,2016-08-03,March,196508.583,100081.959
T41756,C9032388,1991-01-25,M,Jakarta,2016-08-03,March,55479.45,2257152.663
T41757,C4516284,1984-11-22,M,Jakarta,2016-08-03,March,185550.0,3284173.7685
T41760,C2981888,1997-01-31,M,Semarang,2016-08-03,March,64942.50000000001,33577.128000000004
T41762,C3316684,1984-12-01,M,Bandung,2016-08-03,March,1797979.5,7025396.152500001
T41763,C1326035,1986-04-17,F,Jakarta,2016-08-03,March,37110.0,6077291.3175
T41764,C1512639,1992-02-28,M,Semarang,2016-08-03,March,27646.95,3494294.2995
T41767,C7651445,1989-12-01,M,Bandung,2016-08-03,March,9277.5,2117758.2255
T41769,C4246445,1975-01-17,M,Makassar,2016-08-03,March,18555.0,5638649.262
T41770,C8410861,1986-02-15,M,Bandung,2016-08-03,March,153820.95,2812540.9230000004
T41771,C7337755,1995-04-04,M,Jakarta,2016-08-03,March,25977.0,606080.52
T41772,C4626766,1982-10-06,M,Surabaya,2016-08-03,March,833305.05,194204152.19700003
T41773,C5942860,1991-07-11,F,Makassar,2016-08-03,March,38408.850000000006,97050.072
T41774,C8616724,1991-05-04,F,Semarang,2016-08-03,March,25977.0,318283.1925
T41775,C3111856,1993-12-15,M,Surabaya,2016-08-03,March,12060.75,3821500.5915
T41777,C2034271,1980-11-14,M,Semarang,2016-08-03,March,371100.0,17474423.598
T41778,C6350766,1993-05-18,M,Jakarta,2016-08-03,March,149182.2,64454.503500000006
T41781,C3517190,1990-11-16,M,Bandung,2016-08-03,March,1855.5,2019984.5085
T41782,C1337043,1990-04-06,M,Jakarta,2016-08-03,March,113185.5,1162084.806
T41783,C8017520,1983-04-10,M,Bandung,2016-08-03,March,38965.5,27583950.2085
T41784,C5023126,1987-11-09,M,Bandung,2016-08-03,March,185364.45,7476516.4455
T41786,C7219230,1995-02-11,M,Surabaya,2016-08-03,March,5566.5,6616894.839000001
T41788,C1713658,1987-02-04,M,Surabaya,2016-08-03,March,92775.0,321628.65900000004
T41789,C2631426,1988-12-08,M,Jakarta,2016-08-03,March,56221.65,2168515.428
T41790,C7282423,1993-08-16,M,Jakarta,2016-08-03,March,44532.0,59917824.555
T41791,C8625334,1994-09-01,M,Semarang,2016-08-03,March,9277.5,8760570.6885
T41792,C2120991,1983-01-27,M,Surabaya,2016-08-03,March,55665.0,3116154.5325000007
T41793,C7575085,1988-07-26,M,Semarang,2016-08-03,March,21097.035000000003,6953890.749000001
T41794,C8796069,1983-10-31,M,Jakarta,2016-08-03,March,2108590.2,37253469.1155
T41795,C4015949,1995-03-10,M,Bandung,2016-08-03,March,92775.0,3926677.7535
T41796,C5736641,1984-05-08,M,Semarang,2016-08-03,March,8720.85,5089473.216
T41797,C8440179,1991-12-25,M,Surabaya,2016-08-03,March,18555.0,455111.4735
T41798,C3224470,1983-12-06,M,Jakarta,2016-08-03,March,44539.422,18467.791500000003
T41799,C4351921,1988-05-19,M,Makassar,2016-08-03,March,41192.100000000006,7235507.406
T41800,C4737638,1976-11-29,F,Makassar,2016-08-03,March,73663.35,7041815.472000001
T41801,C5228983,1978-04-19,M,Surabaya,2016-08-03,March,293169.0,9612495.681
T41802,C7520188,1979-03-23,M,Semarang,2016-08-03,March,129699.45,812423.253
T41803,C2521159,1992-09-19,M,Bandung,2016-08-03,March,9463.05,407991.051
T41804,C7428091,1995-12-10,F,Bandung,2016-08-03,March,18555.0,11365230.669000002
T41805,C4946671,1995-02-11,F,Bandung,2016-08-03,March,2783.25,10981678.4085
T41806,C1129591,1978-09-02,M,Bandung,2016-08-03,March,257034.993,7764306.351000001
T41807,C3827739,1989-04-07,F,Bandung,2016-08-03,March,8349.75,1343662.1805
